Feature ID	Wild-type - WT3_S9 (GE) - Expression values	Wild-type - WT3_S9 (GE) - Unique gene reads	Wild-type - WT3_S9 (GE) - Total gene reads
SAOUHSC_02813	4211	4211	4211
SAOUHSC_01409	309	309	309
SAOUHSC_00360	1509	1509	1509
SAOUHSC_00084	548	548	548
SAOUHSC_02521	489	489	489
SAOUHSC_00749	28306	28306	28306
SAOUHSC_02819	121	121	121
SAOUHSC_02315	15993	15993	15993
SAOUHSC_02759	8369	8369	8369
SAOUHSC_00289	139	139	139
SAOUHSC_02245	534	534	534
SAOUHSC_03005	285	285	285
SAOUHSC_00986	571	571	571
SAOUHSC_00261	1650	1650	1650
SAOUHSC_00112	48	32	48
secY_2	442	442	442
SAOUHSC_00409	308	308	308
SAOUHSC_01422	370	370	370
SAOUHSC_00991	1163	1163	1163
SAOUHSC_02619	7937	7937	7937
SAOUHSC_02991	4450	4450	4450
SAOUHSC_01324	11608	11608	11608
SAOUHSC_01905	39	30	39
SAOUHSC_00746	4111	4111	4111
SAOUHSC_02702	175	175	175
SAOUHSC_02928	114	114	114
SAOUHSC_00266	774	774	774
SAOUHSC_00926	2790	2790	2790
SAOUHSC_00300	41412	41412	41412
SAOUHSC_00993	91	91	91
SAOUHSC_02271	292	292	292
SAOUHSC_00135	589	589	589
SAOUHSC_00077	1547	1547	1547
SAOUHSC_01388	15	15	15
SAOUHSC_00588	675	675	675
SAOUHSC_00701	1585	1584	1585
SAOUHSC_02156	8	8	8
SAOUHSC_00923	1660	1660	1660
SAOUHSC_01647	1457	1457	1457
SAOUHSC_00913	92	92	92
SAOUHSC_00042	867	867	867
SAOUHSC_02378	3885	3885	3885
SAOUHSC_00927	6590	6590	6590
SAOUHSC_02008	3547	3547	3547
SAOUHSC_01984	598	598	598
SAOUHSC_00725	550	550	550
SAOUHSC_00544	8550	8463	8550
SAOUHSC_00259	794	794	794
SAOUHSC_01503	2627	2627	2627
SAOUHSC_00202	184	184	184
SAOUHSC_00357	4419	4419	4419
SAOUHSC_02795	447	447	447
SAOUHSC_01084	1139	1139	1139
SAOUHSC_00753	901	901	901
SAOUHSC_02437	221	157	221
SAOUHSC_00044	1287	1287	1287
SAOUHSC_01013	5550	5550	5550
SAOUHSC_00193	105	105	105
SAOUHSC_02104	122	122	122
SAOUHSC_01097	3642	3642	3642
SAOUHSC_00166	2059	2059	2059
SAOUHSC_03001	5710	5710	5710
SAOUHSC_01627	7008	7008	7008
SAOUHSC_00585	94	94	94
SAOUHSC_00837	36	36	36
SAOUHSC_00992	619	619	619
SAOUHSC_01789	10887	10887	10887
SAOUHSC_00844	1601	1601	1601
SAOUHSC_00925	2893	2893	2893
SAOUHSC_01311	112	112	112
SAOUHSC_01484	9	9	9
SAOUHSC_02883	1796	1796	1796
SAOUHSC_02309	1597	1597	1597
SAOUHSC_01072	3545	3545	3545
SAOUHSC_00618	971	971	971
SAOUHSC_02800	17	17	17
SAOUHSC_00537	2254	2254	2254
SAOUHSC_00025	7174	7174	7174
SAOUHSC_02144	1480	1480	1480
SAOUHSC_00936	108	108	108
SAOUHSC_00072	2696	2696	2696
SAOUHSC_01088	420	420	420
SAOUHSC_02256	4977	4977	4977
SAOUHSC_00163	4504	4504	4504
SAOUHSC_00046	289	289	289
SAOUHSC_00931	482	482	482
SAOUHSC_02944	469	469	469
SAOUHSC_00030	5249	5249	5249
SAOUHSC_00924	1854	1854	1854
SAOUHSC_00258	5226	5226	5226
SAOUHSC_02246	543	543	543
SAOUHSC_02678	1751	1751	1751
SAOUHSC_01010	925	925	925
SAOUHSC_02458	29	29	29
SAOUHSC_00275	746	555	746
SAOUHSC_00368	17	17	17
SAOUHSC_01310	28273	28273	28273
SAOUHSC_00164	3917	3917	3917
SAOUHSC_02275	67	67	67
SAOUHSC_01012	1575	1575	1575
SAOUHSC_03047	283	283	283
SAOUHSC_00842	1895	1895	1895
SAOUHSC_01918	48557	48557	48557
SAOUHSC_00706	3993	3993	3993
