Feature ID	Single mutant - SM2_S5 (GE) - Expression values	Single mutant - SM2_S5 (GE) - Unique gene reads	Single mutant - SM2_S5 (GE) - Total gene reads
SAOUHSC_00775	539	539	539
SAOUHSC_00257	11380	11380	11380
SAOUHSC_00203	180	180	180
SAOUHSC_02157	1244	1244	1244
SAOUHSC_00806	859	859	859
SAOUHSC_01363	3958	3958	3958
SAOUHSC_02664	3335	3335	3335
SAOUHSC_01030	898	898	898
SAOUHSC_00272	319	319	319
SAOUHSC_02798	11400	11400	11400
SAOUHSC_00808	2826	2826	2826
SAOUHSC_01120	2138	2138	2138
SAOUHSC_01394	332	332	332
SAOUHSC_00250	956	956	956
SAOUHSC_00205	1	1	1
SAOUHSC_00650	6	6	6
SAOUHSC_01294	9	9	9
SAOUHSC_01300	2	2	2
SAOUHSC_01765	2	2	2
SAOUHSC_01937	4	4	4
SAOUHSC_02339	1	1	1
SAOUHSC_02451	109	109	109
SAOUHSC_02616	1	1	1
SAOUHSC_02889	0	0	0
SAOUHSC_02940	1	1	1
SAOUHSC_A00526	0	0	0
SAOUHSC_02454	151	151	151
SAOUHSC_01603	352	347	352
SAOUHSC_02813	4207	4207	4207
SAOUHSC_01409	204	203	204
SAOUHSC_00360	1051	1051	1051
SAOUHSC_00084	376	376	376
SAOUHSC_02521	512	512	512
SAOUHSC_00749	18507	18507	18507
SAOUHSC_02819	48	48	48
SAOUHSC_02315	8615	8615	8615
SAOUHSC_02759	4861	4861	4861
SAOUHSC_00289	63	63	63
SAOUHSC_02245	275	275	275
SAOUHSC_03005	197	197	197
SAOUHSC_00986	342	342	342
SAOUHSC_00261	971	971	971
SAOUHSC_00112	38	29	38
secY_2	206	206	206
SAOUHSC_00409	187	187	187
SAOUHSC_01422	293	293	293
SAOUHSC_00991	859	859	859
SAOUHSC_02619	5288	5288	5288
SAOUHSC_02991	4896	4896	4896
SAOUHSC_01324	5668	5668	5668
SAOUHSC_01905	25	23	25
SAOUHSC_00746	2506	2506	2506
SAOUHSC_02702	161	161	161
SAOUHSC_02928	96	96	96
SAOUHSC_00266	500	500	500
SAOUHSC_00926	1734	1734	1734
SAOUHSC_00300	25741	25741	25741
SAOUHSC_00993	57	57	57
SAOUHSC_02271	226	226	226
SAOUHSC_00135	524	524	524
SAOUHSC_00077	939	939	939
SAOUHSC_01388	5	5	5
SAOUHSC_00588	398	398	398
SAOUHSC_00701	901	901	901
SAOUHSC_02156	9	9	9
SAOUHSC_00923	994	994	994
SAOUHSC_01647	895	895	895
SAOUHSC_00913	58	58	58
SAOUHSC_00042	648	648	648
SAOUHSC_02378	2737	2737	2737
SAOUHSC_00927	3854	3854	3854
SAOUHSC_02008	2381	2381	2381
SAOUHSC_01984	563	563	563
SAOUHSC_00725	361	361	361
SAOUHSC_00544	6891	6833	6891
SAOUHSC_00259	572	572	572
SAOUHSC_01503	1773	1773	1773
SAOUHSC_00202	126	126	126
SAOUHSC_00357	2755	2755	2755
SAOUHSC_02795	313	313	313
SAOUHSC_01084	677	677	677
SAOUHSC_00753	682	682	682
SAOUHSC_02437	155	117	155
SAOUHSC_00044	694	694	694
SAOUHSC_01013	5572	5572	5572
SAOUHSC_00193	98	98	98
SAOUHSC_02104	91	91	91
SAOUHSC_01097	2631	2631	2631
SAOUHSC_00166	1373	1373	1373
SAOUHSC_03001	6071	6071	6071
SAOUHSC_01627	4828	4828	4828
SAOUHSC_00585	45	45	45
SAOUHSC_00837	21	21	21
SAOUHSC_00992	428	428	428
SAOUHSC_01789	8021	8021	8021
SAOUHSC_00844	824	824	824
SAOUHSC_00925	1825	1825	1825
SAOUHSC_01311	46	46	46
SAOUHSC_01484	7	7	7
SAOUHSC_02883	1385	1385	1385
SAOUHSC_02309	966	966	966
SAOUHSC_01072	2727	2727	2727
SAOUHSC_00618	812	812	812
SAOUHSC_02800	8	8	8
SAOUHSC_00537	1624	1622	1624
SAOUHSC_00025	4163	4163	4163
SAOUHSC_02144	1197	1197	1197
SAOUHSC_00936	90	90	90
SAOUHSC_00072	1819	1819	1819
SAOUHSC_01088	260	260	260
SAOUHSC_02256	3591	3591	3591
SAOUHSC_00163	3541	3541	3541
SAOUHSC_00046	192	192	192
SAOUHSC_00931	346	346	346
SAOUHSC_02944	320	320	320
SAOUHSC_00030	3656	3656	3656
SAOUHSC_00924	1266	1266	1266
SAOUHSC_00258	3895	3895	3895
SAOUHSC_02246	300	300	300
SAOUHSC_02678	1180	1180	1180
SAOUHSC_01010	904	904	904
SAOUHSC_02458	23	23	23
SAOUHSC_00275	549	387	549
SAOUHSC_00368	28	28	28
SAOUHSC_01310	23864	23864	23864
SAOUHSC_00164	2786	2786	2786
SAOUHSC_02275	50	50	50
SAOUHSC_01012	1714	1714	1714
SAOUHSC_03047	204	204	204
SAOUHSC_00842	976	976	976
SAOUHSC_01918	61532	61532	61532
SAOUHSC_00706	3743	3743	3743
SAOUHSC_02688	9	9	9
SAOUHSC_00636	65842	65842	65842
SAOUHSC_02622	10558	10558	10558
SAOUHSC_02722	382	382	382
SAOUHSC_02865	100	100	100
SAOUHSC_02589	8294	8294	8294
SAOUHSC_00682	2015	2015	2015
SAOUHSC_00299	1077	1077	1077
SAOUHSC_00279	2023	2023	2023
SAOUHSC_01896	1792	1792	1792
SAOUHSC_01898	301	301	301
SAOUHSC_02528	1324	1324	1324
SAOUHSC_02973	1173	1173	1173
SAOUHSC_02570	322	322	322
SAOUHSC_02868	241	241	241
SAOUHSC_02258	1372	1372	1372
SAOUHSC_01799	19478	19478	19478
SAOUHSC_00540	647	647	647
SAOUHSC_01635	1192	1192	1192
SAOUHSC_00669	8395	8395	8395
SAOUHSC_02806	10284	10284	10284
SAOUHSC_01919	87706	87706	87706
SAOUHSC_00274	710	700	710
SAOUHSC_00744	40	40	40
SAOUHSC_01945	536	536	536
SAOUHSC_00965	2912	2912	2912
SAOUHSC_02609	83	83	83
SAOUHSC_00313	89966	89966	89966
SAOUHSC_01011	799	799	799
SAOUHSC_02666	3486	3486	3486
SAOUHSC_00800	2320	2320	2320
SAOUHSC_01304	649	649	649
SAOUHSC_00843	374	374	374
SAOUHSC_02465	5235	5235	5235
SAOUHSC_01014	4829	4829	4829
recX	4272	4272	4272
SAOUHSC_00089	118	118	118
SAOUHSC_01931	1095	1095	1095
SAOUHSC_01085	625	625	625
SAOUHSC_01356	3374	3374	3374
SAOUHSC_00421	806	806	806
SAOUHSC_01954	121	121	121
SAOUHSC_01879	24168	24168	24168
SAOUHSC_00862	3005	3005	3005
SAOUHSC_01112	419	419	419
SAOUHSC_02651	3126	3126	3126
SAOUHSC_01604	7094	7001	7094
SAOUHSC_00134	615	615	615
SAOUHSC_01729	8398	8398	8398
SAOUHSC_00130	1222	1222	1222
SAOUHSC_02462	15	15	15
SAOUHSC_03018	265	265	265
SAOUHSC_00269	13273	11045	13273
SAOUHSC_02145	495	495	495
SAOUHSC_02794	1054	1054	1054
SAOUHSC_02811	11888	11888	11888
SAOUHSC_1342a	5431	5431	5431
SAOUHSC_00262	5099	5099	5099
SAOUHSC_00977	756	756	756
SAOUHSC_03004	152	152	152
SAOUHSC_02988	952	952	952
SAOUHSC_00347	1582	1582	1582
SAOUHSC_00838	8983	8983	8983
SAOUHSC_02335	7367	7367	7367
SAOUHSC_02608	1897	1897	1897
SAOUHSC_02475	602	602	602
SAOUHSC_01395	705	705	705
SAOUHSC_02624	5183	5183	5183
SAOUHSC_00389	89	88	89
SAOUHSC_00395	550	550	550
SAOUHSC_01137	6290	6290	6290
SAOUHSC_01922	2860	2860	2860
SAOUHSC_00199	15439	15439	15439
SAOUHSC_00700	1611	1611	1611
SAOUHSC_01124	70	70	70
SAOUHSC_02272	533	533	533
SAOUHSC_02631	4483	4483	4483
SAOUHSC_01155	3069	3069	3069
SAOUHSC_01015	3615	3615	3615
SAOUHSC_01173	1324	1324	1324
SAOUHSC_00634	123833	123833	123833
SAOUHSC_00748	2543	2543	2543
SAOUHSC_01016	1966	1966	1966
SAOUHSC_02971	737	737	737
SAOUHSC_00637	113620	113620	113620
SAOUHSC_00078	654	654	654
SAOUHSC_01999	7902	7902	7902
SAOUHSC_00131	503	503	503
SAOUHSC_02620	1542	1542	1542
SAOUHSC_01009	3639	3639	3639
SAOUHSC_02641	261	261	261
SAOUHSC_02777	3378	3378	3378
SAOUHSC_00175	3407	3407	3407
SAOUHSC_02585	7195	7195	7195
SAOUHSC_02409	72793	72793	72793
SAOUHSC_01023	39	39	39
SAOUHSC_02549	9540	9540	9540
SAOUHSC_02519	7330	7330	7330
SAOUHSC_01073	2265	2265	2265
SAOUHSC_01800	13662	13662	13662
SAOUHSC_00312	21915	21915	21915
SAOUHSC_00922	287	287	287
SAOUHSC_00497	2405	2405	2405
SAOUHSC_01942	52	52	52
SAOUHSC_00828	1440	1440	1440
SAOUHSC_02670	7234	7234	7234
SAOUHSC_02737	9611	9611	9611
SAOUHSC_01952	408	408	408
SAOUHSC_02575	3429	3429	3429
SAOUHSC_00351	285	285	285
SAOUHSC_00774	2018	2018	2018
SAOUHSC_00697	417	417	417
SAOUHSC_00290	9772	9772	9772
SAOUHSC_00548	6669	6669	6669
SAOUHSC_01921	1912	1912	1912
SAOUHSC_02524	3770	3770	3770
SAOUHSC_00662	1508	1508	1508
SAOUHSC_00053	187	187	187
SAOUHSC_01067	6398	6398	6398
SAOUHSC_00311	16401	16401	16401
SAOUHSC_00673	2807	2807	2807
SAOUHSC_00088	100	100	100
SAOUHSC_02529	5315	5315	5315
SAOUHSC_02744	2605	2605	2605
SAOUHSC_00162	27115	27115	27115
trpC	100	100	100
SAOUHSC_00229	934	934	934
SAOUHSC_02650	14958	14958	14958
SAOUHSC_02450	945	945	945
SAOUHSC_00050	1265	1265	1265
SAOUHSC_02605	1109	1109	1109
SAOUHSC_00264	398	398	398
SAOUHSC_00619	16954	16954	16954
SAOUHSC_00182	204	204	204
SAOUHSC_01387	185	185	185
SAOUHSC_02756	791	791	791
SAOUHSC_01396	752	752	752
SAOUHSC_01655	1305	1305	1305
SAOUHSC_01847	2888	2888	2888
SAOUHSC_00874	2596	2596	2596
SAOUHSC_00280	4781	4781	4781
SAOUHSC_00197	11101	11101	11101
SAOUHSC_00363	1802	1802	1802
SAOUHSC_02696	1200	1200	1200
SAOUHSC_00195	12653	12653	12653
SAOUHSC_01336	5259	5259	5259
SAOUHSC_00105	260	260	260
SAOUHSC_02599	1476	1476	1476
SAOUHSC_01798	933	933	933
SAOUHSC_03016	1336	1336	1336
SAOUHSC_00079	1195	1189	1195
SAOUHSC_00949	1588	1588	1588
SAOUHSC_00049	5240	5240	5240
SAOUHSC_00325	121	121	121
SAOUHSC_00173	2174	2174	2174
SAOUHSC_02731	8840	8840	8840
SAOUHSC_00376	157	157	157
SAOUHSC_01403	176685	176685	176685
SAOUHSC_00104	196	196	196
SAOUHSC_02937	2919	2919	2919
SAOUHSC_02773	20827	20827	20827
SAOUHSC_00198	15077	15077	15077
SAOUHSC_02390	27073	27073	27073
SAOUHSC_00335	1629	1629	1629
SAOUHSC_02923	1322	1322	1322
SAOUHSC_01617	5973	5973	5973
SAOUHSC_02810	19706	19706	19706
SAOUHSC_01180	3125	3125	3125
gpmA	29761	29761	29761
SAOUHSC_01707	9987	9987	9987
SAOUHSC_02476	854	854	854
SAOUHSC_01301	1	1	1
SAOUHSC_01397	787	787	787
SAOUHSC_01317	13990	13990	13990
ulaA	52366	52366	52366
SAOUHSC_00196	21161	21161	21161
SAOUHSC_00133	2370	2370	2370
SAOUHSC_00515	2851	2851	2851
SAOUHSC_01948	1491	1491	1491
SAOUHSC_00328	1310	1310	1310
SAOUHSC_01303	684	684	684
SAOUHSC_03022	6322	6322	6322
SAOUHSC_00383	871	871	871
SAOUHSC_01082	1031	1031	1031
SAOUHSC_00324	1610	1610	1610
SAOUHSC_02882	1428	1428	1428
SAOUHSC_00394	149	149	149
SAOUHSC_00329	851	851	851
SAOUHSC_00620	11142	11142	11142
SAOUHSC_00008	12370	12370	12370
SAOUHSC_01268	672	672	672
SAOUHSC_00041	1252	1252	1252
SAOUHSC_02837	394	394	394
SAOUHSC_00384	158	158	158
SAOUHSC_00080	1616	1613	1616
SAOUHSC_02001	11594	11594	11594
SAOUHSC_00961	97	97	97
SAOUHSC_01489	98	98	98
SAOUHSC_00136	93	93	93
SAOUHSC_01134	481	481	481
SAOUHSC_00220	4846	4846	4846
SAOUHSC_01650	2462	2462	2462
SAOUHSC_01849	5691	5691	5691
SAOUHSC_02151	1678	1678	1678
SAOUHSC_03048	101	101	101
SAOUHSC_02430	25191	25191	25191
SAOUHSC_00941	7506	7506	7506
SAOUHSC_01710	3292	3292	3292
SAOUHSC_00065	1955	1955	1955
SAOUHSC_02569	121	121	121
SAOUHSC_00948	18887	18887	18887
SAOUHSC_02905	362	362	362
SAOUHSC_03026	1143	1143	1143
SAOUHSC_01917	119	119	119
SAOUHSC_03028	5206	5206	5206
SAOUHSC_00178	3261	3261	3261
SAOUHSC_00256	1526	1526	1526
SAOUHSC_02912	23640	23640	23640
SAOUHSC_00132	289381	289381	289381
SAOUHSC_00422	1986	1986	1986
SAOUHSC_00962	659	659	659
SAOUHSC_02931	845	845	845
SAOUHSC_02986	640	640	640
SAOUHSC_01671	2207	2207	2207
SAOUHSC_02761	1454	1454	1454
SAOUHSC_01181	8481	8481	8481
SAOUHSC_02248	1259	1259	1259
SAOUHSC_01213	6457	6457	6457
SAOUHSC_01220	359	359	359
SAOUHSC_00221	7524	7524	7524
SAOUHSC_00740	2612	2612	2612
SAOUHSC_01464	19588	19588	19588
SAOUHSC_01899	350	350	350
SAOUHSC_01691	435	435	435
SAOUHSC_00222	10363	10363	10363
SAOUHSC_01110	2103	2103	2103
SAOUHSC_01008	1360	1360	1360
SAOUHSC_02449	1484	1484	1484
SAOUHSC_00845	118674	118674	118674
SAOUHSC_01414	4386	4386	4386
SAOUHSC_01640	60	60	60
SAOUHSC_02660	6202	6202	6202
SAOUHSC_01846	42109	42109	42109
SAOUHSC_00479	11896	11896	11896
SAOUHSC_02435	1324	1324	1324
SAOUHSC_00322	5371	5371	5371
SAOUHSC_02743	1403	1403	1403
SAOUHSC_00988	1927	1927	1927
SAOUHSC_02733	11722	11722	11722
SAOUHSC_01768	6679	6679	6679
SAOUHSC_02555	4404	4404	4404
SAOUHSC_00825	9082	9082	9082
SAOUHSC_02767	3322	3322	3322
SAOUHSC_01385	439	439	439
SAOUHSC_02960	5558	5558	5558
SAOUHSC_00276	725	570	725
SAOUHSC_02464	7163	7163	7163
SAOUHSC_00393	122	122	122
SAOUHSC_02471	1110	1110	1110
SAOUHSC_00007	2114	2114	2114
SAOUHSC_02593	2311	2311	2311
SAOUHSC_00176	4253	4253	4253
SAOUHSC_00885	7790	7790	7790
SAOUHSC_00177	5151	5151	5151
SAOUHSC_02719	575	575	575
SAOUHSC_02645	783	783	783
SAOUHSC_02842	247	247	247
nrdI	8552	8124	8552
SAOUHSC_00151	8160	8160	8160
SAOUHSC_02568	4252	4252	4252
SAOUHSC_01399	1649	1649	1649
SAOUHSC_00362	10467	10467	10467
SAOUHSC_00556	23934	23934	23934
SAOUHSC_00277	1153	1101	1153
SAOUHSC_02127	845	845	845
SAOUHSC_02911	2103	2103	2103
SAOUHSC_02014	3156	3156	3156
SAOUHSC_02790	6923	6923	6923
SAOUHSC_00678	8843	8843	8843
SAOUHSC_01296	559	559	559
SAOUHSC_02614	3859	3859	3859
SAOUHSC_01830	3430	3430	3430
SAOUHSC_01133	1739	1739	1739
SAOUHSC_01366	743	743	743
SAOUHSC_01657	2011	2011	2011
SAOUHSC_01440	601	601	601
SAOUHSC_01884	125047	125047	125047
SAOUHSC_02472	2237	2237	2237
SAOUHSC_00938	15389	15389	15389
SAOUHSC_00738	103219	103219	103219
SAOUHSC_02658	654	654	654
SAOUHSC_02910	6325	6325	6325
SAOUHSC_01835	2678	2674	2678
SAOUHSC_00314	2313	2313	2313
SAOUHSC_00707	4970	4970	4970
SAOUHSC_00052	129	120	129
SAOUHSC_01997	19731	19731	19731
SAOUHSC_02851	93	93	93
SAOUHSC_02801	13371	13371	13371
SAOUHSC_01986	9849	9849	9849
SAOUHSC_00143	2412	2412	2412
SAOUHSC_00081	821	820	821
SAOUHSC_02119	19395	19395	19395
SAOUHSC_01507	77	77	77
SAOUHSC_00204	7881	7881	7881
SAOUHSC_00810	452	452	452
SAOUHSC_00940	7845	7845	7845
SAOUHSC_00265	488	488	488
SAOUHSC_02739	4940	4940	4940
SAOUHSC_02259	7871	7871	7871
SAOUHSC_02523	2154	2154	2154
SAOUHSC_00586	503	503	503
SAOUHSC_02694	3367	3367	3367
SAOUHSC_01968	9896	9896	9896
SAOUHSC_02276	2714	2714	2714
SAOUHSC_03049	13425	13425	13425
SAOUHSC_02778	11839	11839	11839
SAOUHSC_01036	10681	10681	10681
SAOUHSC_02533	297	297	297
SAOUHSC_00297	5020	5020	5020
SAOUHSC_01062	9026	9026	9026
SAOUHSC_00218	52	52	52
SAOUHSC_00899	850	850	850
SAOUHSC_00082	1323	1323	1323
SAOUHSC_02863	165	165	165
SAOUHSC_00326	296	296	296
SAOUHSC_02587	10688	10688	10688
SAOUHSC_00381	464	464	464
SAOUHSC_01805	742	515	742
SAOUHSC_00359	2129	2129	2129
SAOUHSC_00880	3609	3609	3609
SAOUHSC_02949	1116	1116	1116
SAOUHSC_02695	1645	1645	1645
SAOUHSC_01279	3635	3635	3635
SAOUHSC_00410	1215	1215	1215
SAOUHSC_00555	2089	2089	2089
SAOUHSC_02553	2315	2315	2315
SAOUHSC_01343	7326	7326	7326
SAOUHSC_02247	932	932	932
SAOUHSC_02926	62535	62535	62535
purH	6089	6089	6089
SAOUHSC_02861	4686	4686	4686
SAOUHSC_00043	98	98	98
SAOUHSC_00392	450	450	450
SAOUHSC_02461	1047	1047	1047
SAOUHSC_01398	1026	1026	1026
SAOUHSC_01908	28304	28304	28304
SAOUHSC_02699	17264	17254	17264
SAOUHSC_01880	178	127	178
SAOUHSC_01781	19882	19882	19882
SAOUHSC_02546	5882	5882	5882
SAOUHSC_00742	49832	49387	49832
SAOUHSC_02729	166095	166095	166095
SAOUHSC_01706	1251	1251	1251
SAOUHSC_02700	5041	5041	5041
SAOUHSC_00181	7351	7351	7351
SAOUHSC_02093	3956	3956	3956
SAOUHSC_02304	9072	9072	9072
SAOUHSC_00621	1143	1143	1143
SAOUHSC_02532	599	599	599
SAOUHSC_01607	28	28	28
SAOUHSC_02775	1177	1177	1177
SAOUHSC_00062	115	115	115
SAOUHSC_02367	4191	4191	4191
SAOUHSC_02147	12102	12102	12102
SAOUHSC_01051	6251	6251	6251
SAOUHSC_00807	1794	1794	1794
SAOUHSC_00651	6218	6218	6218
SAOUHSC_02654	7104	7104	7104
SAOUHSC_00705	1089	1089	1089
SAOUHSC_02436	9911	9911	9911
SAOUHSC_02648	2889	2889	2889
SAOUHSC_01920	5167	5167	5167
SAOUHSC_02826	1510	1510	1510
SAOUHSC_00268	14714	14714	14714
SAOUHSC_00377	243	243	243
SAOUHSC_A02794	655	655	655
SAOUHSC_00106	434	434	434
SAOUHSC_02612	8256	8256	8256
SAOUHSC_01900	263	263	263
SAOUHSC_02691	1679	1679	1679
SAOUHSC_02552	1025	1025	1025
SAOUHSC_01639	33	33	33
holA	1118	1118	1118
SAOUHSC_00830	2671	2671	2671
SAOUHSC_00454	7234	7234	7234
SAOUHSC_00267	327	327	327
SAOUHSC_00835	22492	22492	22492
SAOUHSC_00508	10952	10952	10952
SAOUHSC_00607	8093	8093	8093
SAOUHSC_01319	361	361	361
SAOUHSC_01478	1323	1323	1323
SAOUHSC_00605	4881	4881	4881
SAOUHSC_00987	1915	1915	1915
SAOUHSC_01709	14545	14545	14545
SAOUHSC_01728	5215	5215	5215
SAOUHSC_00989	4664	4664	4664
SAOUHSC_00086	3119	3119	3119
SAOUHSC_02460	12413	12413	12413
SAOUHSC_00440	4	4	4
SAOUHSC_01992	8963	8963	8963
SAOUHSC_02888	452	452	452
SAOUHSC_02741	1879	1879	1879
SAOUHSC_02843	4268	4268	4268
SAOUHSC_02783	748	748	748
SAOUHSC_00083	1310	1310	1310
SAOUHSC_00840	3869	3869	3869
SAOUHSC_01313	973	973	973
SAOUHSC_02003	4566	4566	4566
SAOUHSC_02831	1568	1568	1568
SAOUHSC_00864	9987	9987	9987
SAOUHSC_00428	5920	5920	5920
SAOUHSC_02992	541	541	541
SAOUHSC_02403	78559	78559	78559
SAOUHSC_00888	8588	8588	8588
SAOUHSC_01708	8376	8376	8376
SAOUHSC_02686	2737	2737	2737
SAOUHSC_01340	4383	4383	4383
SAOUHSC_00698	7045	7045	7045
SAOUHSC_01975	20795	20795	20795
SAOUHSC_02924	357	357	357
SAOUHSC_00370	6061	6061	6061
SAOUHSC_01462	38223	38223	38223
SAOUHSC_00535	85549	85549	85549
SAOUHSC_02757	2286	2286	2286
SAOUHSC_02780	1812	1812	1812
SAOUHSC_01367	298	298	298
SAOUHSC_01941	87	87	87
SAOUHSC_00026	522	222	522
SAOUHSC_00683	1353	1353	1353
SAOUHSC_00687	4052	4052	4052
SAOUHSC_A01081	43	43	43
SAOUHSC_02520	9458	9458	9458
SAOUHSC_01400	1849	1849	1849
SAOUHSC_02374	3129	3129	3129
SAOUHSC_02625	8817	8817	8817
SAOUHSC_02547	6990	6990	6990
SAOUHSC_00304	4252	4252	4252
SAOUHSC_00378	373	373	373
SAOUHSC_00366	25492	25492	25492
SAOUHSC_02846	6990	6990	6990
SAOUHSC_00180	6538	6538	6538
SAOUHSC_02584	4562	4562	4562
SAOUHSC_00367	5113	5113	5113
SAOUHSC_02308	11126	11126	11126
SAOUHSC_02766	1148	1148	1148
SAOUHSC_02828	2336	2336	2336
SAOUHSC_02829	16224	16224	16224
SAOUHSC_02803	3948	3903	3948
SAOUHSC_02626	10077	10077	10077
SAOUHSC_00702	4122	4122	4122
SAOUHSC_01452	99	99	99
SAOUHSC_02640	373	373	373
SAOUHSC_02862	28918	28918	28918
SAOUHSC_00371	32362	32362	32362
SAOUHSC_01018	6837	6837	6837
SAOUHSC_01762	5136	5136	5136
SAOUHSC_02417	57800	57800	57800
SAOUHSC_01407	13065	13065	13065
SAOUHSC_02600	9514	9514	9514
SAOUHSC_01152	4752	4752	4752
SAOUHSC_02621	1030	1030	1030
SAOUHSC_00592	637	637	637
SAOUHSC_00010	438	438	438
SAOUHSC_01656	2790	2790	2790
SAOUHSC_00760	6924	6924	6924
SAOUHSC_00765	302	302	302
SAOUHSC_02669	5866	5866	5866
