Feature ID	Single mutant - SM2_S5 (GE) - Expression values	Single mutant - SM2_S5 (GE) - Unique gene reads	Single mutant - SM2_S5 (GE) - Total gene reads
SAOUHSC_01037	10	10	10
SAOUHSC_00303	1	1	1
SAOUHSC_00978	62	62	62
SAOUHSC_02313	1	1	1
SAOUHSC_02518	4	4	4
SAOUHSC_A02577	2	2	2
SAOUHSC_01295	3	3	3
SAOUHSC_02705	2	2	2
SAOUHSC_01290	18	18	18
SAOUHSC_01291	2	2	2
SAOUHSC_02732	2	2	2
SAOUHSC_T00016	1	0	1
SAOUHSC_00823	149	149	149
SAOUHSC_02515	611	611	611
SAOUHSC_01930	14	14	14
SAOUHSC_02925	41	41	41
SAOUHSC_00069	855939	855939	855939
SAOUHSC_02312	5177	5177	5177
SAOUHSC_01357	106	106	106
SAOUHSC_02771	131	131	131
SAOUHSC_01315	3	3	3
SAOUHSC_00244	208	208	208
SAOUHSC_A02450	61	61	61
SAOUHSC_02799	37	37	37
SAOUHSC_02832	13	13	13
SAOUHSC_01902	85	85	85
SAOUHSC_02109	1	1	1
SAOUHSC_02657	3	3	3
SAOUHSC_01704	60	60	60
SAOUHSC_02603	520	520	520
SAOUHSC_01113	33	33	33
SAOUHSC_00853	23	23	23
SAOUHSC_01637	34	33	34
SAOUHSC_01421	9	9	9
SAOUHSC_01305	29	29	29
SAOUHSC_00253	5287	5287	5287
SAOUHSC_02311	9078	9078	9078
SAOUHSC_00599	100	100	100
SAOUHSC_01264	3917	3917	3917
SAOUHSC_02821	206	206	206
SAOUHSC_01628	247	247	247
SAOUHSC_00545	36833	36377	36833
SAOUHSC_00232	41485	41485	41485
SAOUHSC_01841	57	57	57
SAOUHSC_00087	2	2	2
SAOUHSC_00470	1	1	1
SAOUHSC_01230	24	24	24
SAOUHSC_02141	1	1	1
SAOUHSC_T00052	36	1	36
SAOUHSC_02566	2975	2975	2975
SAOUHSC_02338	738	738	738
SAOUHSC_02310	3498	3498	3498
SAOUHSC_R0002	29	0	29
SAOUHSC_02856	27	27	27
SAOUHSC_02820	548	548	548
SAOUHSC_01297	97	97	97
SAOUHSC_00233	102889	102889	102889
SAOUHSC_1307a	21	21	21
SAOUHSC_00916	63	63	63
SAOUHSC_01331	0	0	0
SAOUHSC_00270	566	566	566
SAOUHSC_02701	155	155	155
SAOUHSC_01863	1334	1334	1334
SAOUHSC_01119	526	526	526
SAOUHSC_00824	246	246	246
SAOUHSC_01131	1021	1021	1021
SAOUHSC_01293	12	12	12
SAOUHSC_02809	4273	4273	4273
SAOUHSC_02129	50	50	50
SAOUHSC_00718	346	346	346
SAOUHSC_00492	344	344	344
SAOUHSC_01024	1914	1914	1914
SAOUHSC_02455	113	113	113
SAOUHSC_02419	402	402	402
SAOUHSC_03002	144	144	144
SAOUHSC_01971	173	173	173
SAOUHSC_02432	6	6	6
SAOUHSC_00589	90	90	90
SAOUHSC_02452	228	228	228
SAOUHSC_00238	1	1	1
SAOUHSC_01123	481	481	481
SAOUHSC_02607	14372	14372	14372
SAOUHSC_00045	44	44	44
SAOUHSC_01101	90	90	90
SAOUHSC_02606	12900	12900	12900
SAOUHSC_03045	20238	20238	20238
SAOUHSC_00040	1	1	1
SAOUHSC_00826	3265	3265	3265
SAOUHSC_00070	4455	4455	4455
SAOUHSC_02453	263	263	263
SAOUHSC_T00020	3	0	3
SAOUHSC_01389	215	215	215
SAOUHSC_00251	801	801	801
SAOUHSC_00972	725	725	725
SAOUHSC_02393	607	607	607
SAOUHSC_03003	21	21	21
SAOUHSC_00591	237	237	237
SAOUHSC_01956	193	193	193
SAOUHSC_00593	146	146	146
SAOUHSC_01334	927	927	927
SAOUHSC_00446	9	9	9
SAOUHSC_02470	340	340	340
SAOUHSC_00852	6	6	6
SAOUHSC_03046	438	438	438
SAOUHSC_00747	1270	1270	1270
SAOUHSC_00255	253	253	253
SAOUHSC_00260	135	135	135
SAOUHSC_00973	10491	10491	10491
SAOUHSC_02572	743	743	743
SAOUHSC_01950	31	31	31
SAOUHSC_02817	27	27	27
SAOUHSC_03000	35	35	35
SAOUHSC_00075	354	354	354
SAOUHSC_02320	3260	3260	3260
SAOUHSC_00271	1063	1063	1063
SAOUHSC_00144	71842	71842	71842
SAOUHSC_02588	13	13	13
SAOUHSC_02808	8504	8504	8504
SAOUHSC_01292	44	44	44
SAOUHSC_01090	2	2	2
SAOUHSC_01055a	630	630	630
SAOUHSC_02886	32	32	32
SAOUHSC_01111	67	67	67
SAOUHSC_00841	715	715	715
SAOUHSC_02914	7	7	7
SAOUHSC_00254	57	57	57
SAOUHSC_00915	41	41	41
SAOUHSC_01923	237	237	237
SAOUHSC_00145	7045	7045	7045
SAOUHSC_02314	26888	26888	26888
SAOUHSC_02990	19017	19017	19017
SAOUHSC_00076	541	541	541
SAOUHSC_00074	5767	5767	5767
SAOUHSC_00249	876	876	876
SAOUHSC_A02331	88	88	88
SAOUHSC_01897	146	146	146
SAOUHSC_01353	323	323	323
SAOUHSC_02153	352	352	352
SAOUHSC_01957	713	713	713
SAOUHSC_02618	5236	5236	5236
SAOUHSC_02858	62	62	62
SAOUHSC_00704	2607	2607	2607
SAOUHSC_00612	146	146	146
SAOUHSC_00674	777	777	777
