Feature ID	Single mutant - SM3_S6 (GE) - Expression values	Single mutant - SM3_S6 (GE) - Unique gene reads	Single mutant - SM3_S6 (GE) - Total gene reads
SAOUHSC_02417	53768	53768	53768
SAOUHSC_01407	9288	9288	9288
SAOUHSC_02600	9638	9638	9638
SAOUHSC_01152	4575	4575	4575
SAOUHSC_02621	948	948	948
SAOUHSC_00592	590	590	590
SAOUHSC_00010	354	354	354
SAOUHSC_01656	2328	2328	2328
SAOUHSC_00760	5559	5559	5559
SAOUHSC_00765	386	386	386
SAOUHSC_02669	4220	4220	4220
SAOUHSC_01991	499	499	499
SAOUHSC_02776	539	539	539
SAOUHSC_00179	6672	6672	6672
SAOUHSC_01479	1507	1507	1507
nusB	8274	8274	8274
ksgA	6226	6226	6226
SAOUHSC_00501	33902	33902	33902
SAOUHSC_01990	669	669	669
SAOUHSC_01947	1092	1092	1092
SAOUHSC_02891	1162	1162	1162
SAOUHSC_02961	6134	6134	6134
SAOUHSC_00821	3497	3497	3497
SAOUHSC_02424	2555	2555	2555
SAOUHSC_02713	466	466	466
SAOUHSC_02663	1735	1735	1735
SAOUHSC_00441	1900	1900	1900
SAOUHSC_02779	7010	7010	7010
SAOUHSC_02284	157	157	157
SAOUHSC_02698	12188	12185	12188
SAOUHSC_00358	91446	91446	91446
SAOUHSC_01096	3462	3462	3462
SAOUHSC_00868	294	294	294
SAOUHSC_00161	396	396	396
SAOUHSC_02615	1805	1805	1805
SAOUHSC_02687	3013	3013	3013
SAOUHSC_00582	547	547	547
SAOUHSC_00979	7888	7888	7888
nrdF	31774	31774	31774
SAOUHSC_02816	3891	3891	3891
SAOUHSC_02879	7131	7131	7131
SAOUHSC_00092	655	655	655
SAOUHSC_02597	14663	14663	14663
SAOUHSC_00928	95	95	95
SAOUHSC_00567	4760	4760	4760
SAOUHSC_01609	17869	17868	17869
SAOUHSC_01597	16448	16448	16448
SAOUHSC_01818	318275	318275	318275
SAOUHSC_00027	2833	1168	2833
SAOUHSC_00602	364	364	364
SAOUHSC_02632	4084	4084	4084
spxA	98073	98073	98073
SAOUHSC_00381a	41	41	41
SAOUHSC_00402	1110	1110	1110
SAOUHSC_02774	7926	7926	7926
SAOUHSC_00192	1005	1005	1005
SAOUHSC_02628	4017	4017	4017
SAOUHSC_00386	107	106	107
SAOUHSC_01998	15252	15252	15252
SAOUHSC_01712	5876	5876	5876
SAOUHSC_01823	1007	1007	1007
SAOUHSC_02522	1481	1481	1481
SAOUHSC_01606	19720	19720	19720
SAOUHSC_01928	289	289	289
SAOUHSC_01711	8057	8057	8057
SAOUHSC_02845	6475	6475	6475
SAOUHSC_00124	688	688	688
SAOUHSC_01380	1122	1122	1122
SAOUHSC_00247	2566	2566	2566
SAOUHSC_02662	181	181	181
SAOUHSC_01314	2043	2043	2043
SAOUHSC_00732	18816	18816	18816
SAOUHSC_02125	6344	6344	6344
SAOUHSC_02962	5947	5947	5947
SAOUHSC_01837	9173	9173	9173
SAOUHSC_02815	151289	151289	151289
SAOUHSC_00898	1376	1376	1376
SAOUHSC_00684	350	350	350
SAOUHSC_02445	8842	8842	8842
SAOUHSC_02647	76458	76458	76458
SAOUHSC_00213	355	355	355
SAOUHSC_01332	6327	6327	6327
SAOUHSC_01864	7281	7281	7281
SAOUHSC_02373	3379	3379	3379
SAOUHSC_01845	674788	674788	674788
SAOUHSC_00429	3006	3006	3006
SAOUHSC_02249	709	709	709
SAOUHSC_00642	10622	10622	10622
SAOUHSC_00614	3812	3812	3812
SAOUHSC_00784	9044	9044	9044
SAOUHSC_02301	48147	48147	48147
SAOUHSC_02554	22925	22925	22925
SAOUHSC_01840	2254	2253	2254
trpD	506	506	506
SAOUHSC_01758	2926	2926	2926
SAOUHSC_02791	1725	1725	1725
SAOUHSC_02656	2148	2148	2148
SAOUHSC_02690	8484	8484	8484
SAOUHSC_00755	3546	3546	3546
SAOUHSC_00285	13527	13527	13527
SAOUHSC_01219	488	488	488
SAOUHSC_R0006	26417	503	26417
lspA	801	801	801
SAOUHSC_02929	52784	52784	52784
SAOUHSC_00284	7216	7216	7216
SAOUHSC_00726	2481	2481	2481
SAOUHSC_00703	8705	8705	8705
SAOUHSC_02751	10083	10083	10083
SAOUHSC_00960	11696	11696	11696
SAOUHSC_00150	272	272	272
SAOUHSC_02742	5864	5864	5864
SAOUHSC_02149	3962	3962	3962
SAOUHSC_00107	2129	2129	2129
SAOUHSC_00615	6698	6698	6698
SAOUHSC_02594	6095	6095	6095
SAOUHSC_02636	2310	2310	2310
SAOUHSC_02655	0	0	0
SAOUHSC_01591	7840	7840	7840
SAOUHSC_00816	2039	2039	2039
SAOUHSC_02627	19231	19231	19231
SAOUHSC_02958	326	326	326
SAOUHSC_01405	3467	3467	3467
SAOUHSC_02818	833	833	833
SAOUHSC_01783	442	441	442
SAOUHSC_02146	5445	5445	5445
SAOUHSC_A02189	2487	2487	2487
SAOUHSC_00405	8309	8309	8309
aroB	4041	4041	4041
SAOUHSC_00093	5350	5350	5350
SAOUHSC_01228	24436	24436	24436
SAOUHSC_01224	8621	8621	8621
SAOUHSC_02830	12089	12089	12089
SAOUHSC_02740	5016	5016	5016
SAOUHSC_02653	2157	2157	2157
SAOUHSC_00672	3419	3419	3419
SAOUHSC_00094	2420	2420	2420
SAOUHSC_00056	12595	12595	12595
SAOUHSC_00482	5692	5692	5692
SAOUHSC_00345	1817	1817	1817
SAOUHSC_00404	1539	1539	1539
SAOUHSC_03030	16735	16735	16735
SAOUHSC_02307	5809	5809	5809
SAOUHSC_02590	31336	31336	31336
SAOUHSC_00332	2380	2380	2380
SAOUHSC_00185	2839	2839	2839
SAOUHSC_01386	456	456	456
SAOUHSC_01044	2616	2616	2616
SAOUHSC_02864	1967	1967	1967
SAOUHSC_02677	4564	4564	4564
SAOUHSC_00047	476	476	476
SAOUHSC_01698	2755	2755	2755
SAOUHSC_02728	703	703	703
SAOUHSC_00665	4826	4826	4826
SAOUHSC_01773	5042	5042	5042
SAOUHSC_00278	954	915	954
SAOUHSC_01103	37207	37207	37207
SAOUHSC_00754	2793	2793	2793
SAOUHSC_00186	1961	1961	1961
SAOUHSC_00382	3096	3096	3096
SAOUHSC_02420	2024	2024	2024
SAOUHSC_00316	367	367	367
SAOUHSC_00767	168330	168330	168330
SAOUHSC_00889	60423	60423	60423
SAOUHSC_00883	8274	8274	8274
SAOUHSC_02714	563	563	563
SAOUHSC_00773	604	604	604
SAOUHSC_02447	41152	41152	41152
SAOUHSC_02009	11557	11557	11557
SAOUHSC_02418	3845	3845	3845
SAOUHSC_01926	704	704	704
SAOUHSC_02351	36567	36567	36567
panB	12171	12171	12171
SAOUHSC_02936	1171	1171	1171
SAOUHSC_01081	6958	6958	6958
SAOUHSC_01719	22540	22540	22540
rnc	4972	4972	4972
SAOUHSC_02827	3491	3491	3491
SAOUHSC_00562	24069	24069	24069
SAOUHSC_02995	2248	2248	2248
SAOUHSC_02610	31456	31456	31456
SAOUHSC_00606	18754	18754	18754
SAOUHSC_01260	9264	9264	9264
SAOUHSC_02010	4064	4064	4064
SAOUHSC_01419	7727	7727	7727
SAOUHSC_00096	4568	4568	4568
SAOUHSC_00287	11307	11307	11307
SAOUHSC_02303	35201	35200	35201
SAOUHSC_02404	3807	3807	3807
SAOUHSC_02550	11061	11061	11061
SAOUHSC_01318	6831	6831	6831
SAOUHSC_02972	19597	19597	19597
SAOUHSC_01638	86	86	86
SAOUHSC_00939	13176	13176	13176
SAOUHSC_02750	2964	2964	2964
SAOUHSC_02402	25552	25552	25552
SAOUHSC_01459	1713	1713	1713
SAOUHSC_01747	18739	18739	18739
SAOUHSC_02649	12203	12203	12203
SAOUHSC_00863	1837	1837	1837
SAOUHSC_00616	11280	11280	11280
SAOUHSC_02444	29802	29802	29802
SAOUHSC_02545	9742	9742	9742
SAOUHSC_00881	4044	4044	4044
SAOUHSC_01066	20335	20335	20335
SAOUHSC_01721	21409	21409	21409
SAOUHSC_01439	3055	3055	3055
SAOUHSC_02383	20423	20423	20423
SAOUHSC_00547	6010	6010	6010
SAOUHSC_01138	34061	34061	34061
SAOUHSC_02148	3581	3581	3581
SAOUHSC_01593	4122	4122	4122
SAOUHSC_00452	17934	17934	17934
SAOUHSC_00596	318	318	318
SAOUHSC_02689	1053	1053	1053
SAOUHSC_02916	5361	5361	5361
SAOUHSC_00733	711	711	711
SAOUHSC_01590	1317	1317	1317
hisZ	39	39	39
SAOUHSC_01929	45	45	45
SAOUHSC_01615	23885	23885	23885
SAOUHSC_00995	1504	1504	1504
SAOUHSC_00477	20541	20541	20541
SAOUHSC_02974	2143	2143	2143
SAOUHSC_00420	415	415	415
SAOUHSC_02718	793	793	793
SAOUHSC_00532	162682	162682	162682
SAOUHSC_00603	17753	17753	17753
SAOUHSC_00168	191	191	191
SAOUHSC_00248	14611	14611	14611
SAOUHSC_00067	43443	43443	43443
mraY	18297	18297	18297
SAOUHSC_02676	7447	7447	7447
SAOUHSC_01495	289	289	289
SAOUHSC_00330	1477	1477	1477
argC	494	494	494
SAOUHSC_00759	4732	4732	4732
SAOUHSC_02715	134	134	134
SAOUHSC_02665	11696	11696	11696
SAOUHSC_01985	5255	5255	5255
SAOUHSC_01987	50960	50960	50960
SAOUHSC_02909	16181	16181	16181
SAOUHSC_02812	3123	3123	3123
SAOUHSC_00465	19632	19632	19632
SAOUHSC_03035	1281	1281	1281
SAOUHSC_00818	316	316	316
SAOUHSC_00463	3928	3928	3928
SAOUHSC_02563	3729	3729	3729
SAOUHSC_02281	209	209	209
SAOUHSC_02781	1137	1137	1137
SAOUHSC_00051	234	234	234
SAOUHSC_00664	7137	7137	7137
SAOUHSC_00480	15183	15183	15183
SAOUHSC_01468	1288	1288	1288
SAOUHSC_02090	6886	6886	6886
trmB	10594	10594	10594
SAOUHSC_00971	658	658	658
SAOUHSC_01951	306	306	306
SAOUHSC_01641	58	58	58
ureA	1689	1689	1689
SAOUHSC_00832	2966	2966	2966
SAOUHSC_01666	121479	121479	121479
SAOUHSC_01977	117487	117487	117487
SAOUHSC_02541	3755	3755	3755
SAOUHSC_00169	185	185	185
SAOUHSC_01364	7755	7755	7755
SAOUHSC_02473	973	973	973
SAOUHSC_01360	9149	9149	9149
SAOUHSC_01115	759	759	759
SAOUHSC_02930	2160	2160	2160
SAOUHSC_02853	119956	119956	119956
SAOUHSC_01026	7307	7307	7307
SAOUHSC_00668	6479	6479	6479
hisB	100	100	100
SAOUHSC_00298	4332	4332	4332
SAOUHSC_00531	8101	8101	8101
SAOUHSC_02644	4509	4509	4509
SAOUHSC_03019	872	872	872
SAOUHSC_00699	13061	13061	13061
SAOUHSC_00391	208	208	208
SAOUHSC_01665	5170	5170	5170
SAOUHSC_01824	2535	2535	2535
SAOUHSC_00374	38078	38078	38078
SAOUHSC_00037	6727	6727	6727
SAOUHSC_01312	224	224	224
SAOUHSC_00200	1833	1833	1833
SAOUHSC_00064	561	561	561
SAOUHSC_00430	4741	4741	4741
SAOUHSC_00334	5855	5855	5855
SAOUHSC_00315	394	394	394
SAOUHSC_02002	181	181	181
SAOUHSC_02463	1284	1284	1284
SAOUHSC_00833	12657	12657	12657
SAOUHSC_00764	8360	8360	8360
SAOUHSC_02110	2948	2948	2948
SAOUHSC_02474	4685	4684	4685
SAOUHSC_01470	5545	5545	5545
rnpA	623	623	623
SAOUHSC_02133	12952	12952	12952
SAOUHSC_01061	14225	14225	14225
murG	13982	13982	13982
SAOUHSC_02322	1520	1520	1520
SAOUHSC_00836	237599	237599	237599
SAOUHSC_00933	29567	29567	29567
SAOUHSC_00613	7403	7403	7403
SAOUHSC_02092	48802	48802	48802
SAOUHSC_02623	17556	17556	17556
SAOUHSC_01974	63130	63130	63130
SAOUHSC_00663	17087	17087	17087
SAOUHSC_00055	544	519	544
SAOUHSC_00831	12772	12772	12772
SAOUHSC_02659	8000	8000	8000
SAOUHSC_02652	12836	12836	12836
rpsT	17955	17955	17955
SAOUHSC_02131	6618	6614	6618
SAOUHSC_02613	5435	5435	5435
SAOUHSC_02161	1092	1092	1092
SAOUHSC_00950	2056	2056	2056
cmk	11484	11484	11484
SAOUHSC_02935	5681	5681	5681
SAOUHSC_01819	53318	53318	53318
SAOUHSC_00406	18715	18715	18715
SAOUHSC_01832	1407	1407	1407
SAOUHSC_01282	18739	18739	18739
SAOUHSC_01643	557	557	557
SAOUHSC_01206	1896	1896	1896
SAOUHSC_00891	54771	54771	54771
SAOUHSC_02401	64170	64170	64170
SAOUHSC_02685	86	86	86
SAOUHSC_02833	352	352	352
SAOUHSC_00296	3432	3432	3432
SAOUHSC_02897	766	766	766
SAOUHSC_01174	10048	10048	10048
SAOUHSC_01649	10522	10522	10522
SAOUHSC_01981	5525	5525	5525
SAOUHSC_01964	35561	35561	35561
SAOUHSC_00787	11486	11486	11486
SAOUHSC_01048	795	795	795
SAOUHSC_02793	25212	25212	25212
SAOUHSC_00156	20860	20860	20860
SAOUHSC_01661	1731	1731	1731
SAOUHSC_01019	1214	1214	1214
SAOUHSC_00407	6480	6480	6480
SAOUHSC_00648	29875	29875	29875
SAOUHSC_02747	5151	5151	5151
SAOUHSC_00305	1656	1656	1656
SAOUHSC_01831	6571	6571	6571
SAOUHSC_02867	3101	3101	3101
SAOUHSC_02531	587	587	587
SAOUHSC_02797	577	577	577
miaA	4677	4677	4677
SAOUHSC_00499	384061	384061	384061
SAOUHSC_01040	412435	412435	412435
SAOUHSC_02443	114532	114532	114532
SAOUHSC_00820	4484	4484	4484
SAOUHSC_01914	6363	6363	6363
SAOUHSC_02711	96	96	96
SAOUHSC_01358	27710	27710	27710
SAOUHSC_02135	4681	4681	4681
SAOUHSC_02994	5940	5940	5940
SAOUHSC_00584	11806	11806	11806
SAOUHSC_02096	25846	25846	25846
SAOUHSC_01326	8824	8824	8824
panC	12397	12397	12397
SAOUHSC_00629	337	337	337
SAOUHSC_00932	418	418	418
SAOUHSC_00426	384	384	384
SAOUHSC_02963	16872	16614	16872
rbfA	9117	9117	9117
SAOUHSC_01086	542	533	542
SAOUHSC_01379	930	930	930
SAOUHSC_01108	6604	6604	6604
engB	2419	2419	2419
SAOUHSC_00103	147	147	147
SAOUHSC_00644	11681	11681	11681
SAOUHSC_02996	705	705	705
SAOUHSC_02150	64427	64427	64427
SAOUHSC_00424	101	101	101
SAOUHSC_02902	655	655	655
SAOUHSC_01225	10137	10137	10137
SAOUHSC_00875	69166	69166	69166
SAOUHSC_02987	1806	1806	1806
SAOUHSC_01978	2410	2410	2410
SAOUHSC_02103	2992	2992	2992
SAOUHSC_02871	8779	8779	8779
SAOUHSC_00919	15249	15249	15249
SAOUHSC_02091	28081	28081	28081
SAOUHSC_02970	100	100	100
SAOUHSC_01455	38806	38806	38806
SAOUHSC_00138	124	124	124
SAOUHSC_01911	481	383	481
SAOUHSC_02825	421	421	421
SAOUHSC_00237	1019	1019	1019
SAOUHSC_01371	361	361	361
SAOUHSC_02993	579	579	579
SAOUHSC_00475	4190	4190	4190
SAOUHSC_00638	6870	6870	6870
SAOUHSC_02980	12523	12523	12523
SAOUHSC_02661	1054	1054	1054
SAOUHSC_03012	165	165	165
SAOUHSC_00944	7981	7981	7981
SAOUHSC_02908	5632	5632	5632
SAOUHSC_03020	101	101	101
SAOUHSC_02915	3437	3437	3437
rpsQ	15557	15557	15557
SAOUHSC_00242	3262	3262	3262
SAOUHSC_03013	160	160	160
SAOUHSC_02370	13991	13991	13991
SAOUHSC_00565	8706	8706	8706
SAOUHSC_R00011	5	5	5
SAOUHSC_02675	4110	4110	4110
SAOUHSC_02551	2989	2989	2989
SAOUHSC_00904	28535	28535	28535
SAOUHSC_01966	11837	11837	11837
SAOUHSC_02834	7617	7617	7617
SAOUHSC_00617	20638	20638	20638
SAOUHSC_00342	3874	3874	3874
SAOUHSC_00564	8666	8666	8666
SAOUHSC_01384	553	553	553
SAOUHSC_00963	22087	22087	22087
SAOUHSC_02595	1096	1096	1096
SAOUHSC_00766	194	194	194
SAOUHSC_01283	5426	5426	5426
SAOUHSC_02143	21718	21718	21718
SAOUHSC_00893	17747	17747	17747
SAOUHSC_00708	30356	30356	30356
SAOUHSC_02921	3921	3921	3921
SAOUHSC_02697	18452	18452	18452
SAOUHSC_01882	21488	21488	21488
SAOUHSC_02375	23642	23642	23642
SAOUHSC_01433	32084	32084	32084
SAOUHSC_00716	3656	3656	3656
SAOUHSC_02428	5150	5150	5150
SAOUHSC_02997	564	564	564
SAOUHSC_00327	392	392	392
SAOUHSC_01594	36493	36493	36493
SAOUHSC_02901	479	479	479
SAOUHSC_00959	13034	13034	13034
SAOUHSC_02386	3325	3325	3325
SAOUHSC_02391	9689	9689	9689
SAOUHSC_00137	207	207	207
SAOUHSC_02881	16345	16345	16345
SAOUHSC_01782	15387	15387	15387
SAOUHSC_02158	44623	44623	44623
SAOUHSC_02596	486	486	486
SAOUHSC_01483	7339	7339	7339
SAOUHSC_00714	26407	26407	26407
SAOUHSC_00739	2105	2105	2105
SAOUHSC_01065	7828	7828	7828
SAOUHSC_00456	2931	2931	2931
SAOUHSC_00333	4516	4516	4516
SAOUHSC_02371	9031	9031	9031
SAOUHSC_00873	35633	35633	35633
SAOUHSC_01002	311059	311059	311059
SAOUHSC_01821	19726	19726	19726
moaC	9535	9535	9535
SAOUHSC_00500	226279	226279	226279
SAOUHSC_01039	17000	17000	17000
SAOUHSC_01677	39821	39821	39821
SAOUHSC_00776	8336	8336	8336
SAOUHSC_02427	2771	2771	2771
SAOUHSC_02300	22567	22567	22567
SAOUHSC_02111	3088	3088	3088
SAOUHSC_01746	61606	61606	61606
SAOUHSC_02693	261	261	261
SAOUHSC_00295	9377	9377	9377
SAOUHSC_00886	42237	42237	42237
SAOUHSC_01734	22580	22580	22580
SAOUHSC_00216	491	491	491
SAOUHSC_02969	187	187	187
SAOUHSC_00318	2667	2667	2667
SAOUHSC_01069	9181	9181	9181
SAOUHSC_00666	6939	6939	6939
rpsA	226511	226511	226511
SAOUHSC_01054	24960	24960	24960
SAOUHSC_01589	6341	6341	6341
SAOUHSC_01365	25868	25868	25868
SAOUHSC_02434	5918	5918	5918
gcvT	123317	123317	123317
sucC	509305	509305	509305
SAOUHSC_02101	707	707	707
SAOUHSC_01127	111	111	111
SAOUHSC_02565	4481	4481	4481
SAOUHSC_00533	41087	41087	41087
SAOUHSC_02577	67482	67482	67482
rpsN_1	927	927	927
SAOUHSC_01463	48728	48728	48728
SAOUHSC_00696	11427	11427	11427
SAOUHSC_00731	15991	15991	15991
mobA	6489	6489	6489
SAOUHSC_02692	2198	2198	2198
SAOUHSC_02643	1771	1771	1771
SAOUHSC_A00354	21	21	21
SAOUHSC_03017	249	249	249
SAOUHSC_02859	25381	25381	25381
SAOUHSC_01797	60670	60670	60670
SAOUHSC_00481	4220	4220	4220
SAOUHSC_00113	1497	1497	1497
SAOUHSC_00338	1516	1516	1516
leuD	233	233	233
SAOUHSC_00771	9216	9216	9216
SAOUHSC_00643	9704	9704	9704
SAOUHSC_01375	3688	3688	3688
infA	13997	13997	13997
SAOUHSC_02557	305	305	305
SAOUHSC_A00992	1061	1053	1061
SAOUHSC_02269	9470	9470	9470
SAOUHSC_01694	9350	9350	9350
SAOUHSC_00622	117	117	117
SAOUHSC_00587	1313	1313	1313
SAOUHSC_02876	4662	4662	4662
SAOUHSC_02260	4478	4478	4478
SAOUHSC_01629	14379	14379	14379
SAOUHSC_02788	1705	1705	1705
SAOUHSC_01480	9034	9034	9034
SAOUHSC_01836	27373	27373	27373
SAOUHSC_02985	8668	8668	8668
SAOUHSC_01825	1823	1823	1823
guaA	50133	50133	50133
SAOUHSC_02134	5780	5780	5780
SAOUHSC_00331	568	568	568
SAOUHSC_01660	8279	8279	8279
SAOUHSC_00489	5442	5442	5442
SAOUHSC_00812	84983	84960	84983
SAOUHSC_00538	11195	11195	11195
SAOUHSC_02006	13426	13426	13426
SAOUHSC_01633	204516	204516	204516
SAOUHSC_01608	1493	1488	1493
SAOUHSC_02433	2703	2703	2703
SAOUHSC_01630	28433	28433	28433
SAOUHSC_00690	50651	50651	50651
SAOUHSC_00013	682	682	682
SAOUHSC_01041	320360	320360	320360
SAOUHSC_00002	31496	31496	31496
SAOUHSC_00190	1645	1645	1645
SAOUHSC_02544	5327	5327	5327
SAOUHSC_00952	12668	12668	12668
SAOUHSC_01980	3478	3478	3478
SAOUHSC_00423	150	150	150
SAOUHSC_00142	368	368	368
SAOUHSC_00906	101436	101436	101436
SAOUHSC_00964	2017	2017	2017
SAOUHSC_02000	20031	20031	20031
SAOUHSC_01348	6478	6478	6478
SAOUHSC_00450	3268	3268	3268
SAOUHSC_01904	187	187	187
SAOUHSC_00884	4711	4711	4711
tmk	3072	3072	3072
SAOUHSC_00337	3143	3143	3143
SAOUHSC_02736	5243	5243	5243
SAOUHSC_00214	70	70	70
SAOUHSC_02382	2350	2350	2350
SAOUHSC_00552	10690	10690	10690
SAOUHSC_00763	6098	6098	6098
ureE	3488	3488	3488
SAOUHSC_01870	10748	10748	10748
SAOUHSC_01001	519608	519608	519608
SAOUHSC_02765	462	462	462
SAOUHSC_02877	14925	14925	14925
SAOUHSC_01267	13275	13275	13275
rpsH	20701	20701	20701
SAOUHSC_00686	18104	18104	18104
SAOUHSC_01653	360081	360081	360081
SAOUHSC_01160	4310	4310	4310
SAOUHSC_00572	3837	3837	3837
SAOUHSC_00219	1087	1087	1087
SAOUHSC_01982	14528	14528	14528
gltD	1194	1194	1194
SAOUHSC_00029	5	5	5
SAOUHSC_01122	5	5	5
SAOUHSC_01833	2095	2095	2095
SAOUHSC_01490	558029	558029	558029
SAOUHSC_02941	420	420	420
coaD	6883	6883	6883
SAOUHSC_01125	96	96	96
SAOUHSC_00344	3541	3541	3541
SAOUHSC_01007	103509	103509	103509
SAOUHSC_02426	1611	1611	1611
SAOUHSC_01752	5786	5786	5786
SAOUHSC_01043	496558	496558	496558
SAOUHSC_00679	16808	16808	16808
SAOUHSC_00720	1353	1353	1353
SAOUHSC_01027	16244	16244	16244
SAOUHSC_00670	42829	42829	42829
SAOUHSC_01792	22546	22546	22546
SAOUHSC_00170	404	404	404
SAOUHSC_00817	256	256	256
acpS	6917	6917	6917
SAOUHSC_02376	33792	33792	33792
SAOUHSC_00758	3768	3768	3768
SAOUHSC_00167	663	663	663
SAOUHSC_00779	12493	12493	12493
hslU	36365	36365	36365
SAOUHSC_01042	469116	469116	469116
SAOUHSC_00756	15393	15393	15393
SAOUHSC_00281	342	342	342
SAOUHSC_00571	2183	2183	2183
SAOUHSC_02372	13150	13150	13150
SAOUHSC_02822	90090	90090	90090
SAOUHSC_01144	46801	46795	46801
murD	39279	39279	39279
SAOUHSC_00369	41120	41120	41120
nadE	13012	13012	13012
SAOUHSC_00317	13279	13279	13279
SAOUHSC_01924	44	44	44
SAOUHSC_01156	11219	11219	11219
SAOUHSC_02967	496	496	496
SAOUHSC_00652	14374	14374	14374
SAOUHSC_01053	1938	1938	1938
SAOUHSC_02716	38	38	38
SAOUHSC_02880	14334	14334	14334
SAOUHSC_02126	34424	34424	34424
SAOUHSC_01602	5161	5161	5161
SAOUHSC_02305	22556	22556	22556
SAOUHSC_02287	465	465	465
secY_1	93662	93662	93662
SAOUHSC_02406	15022	15022	15022
SAOUHSC_00542	14107	14107	14107
SAOUHSC_00444	40677	40677	40677
SAOUHSC_00604	43143	43143	43143
SAOUHSC_02137	30799	30799	30799
SAOUHSC_02321	1259	1259	1259
SAOUHSC_02823	3093	3093	3093
SAOUHSC_02407	22458	22458	22458
SAOUHSC_01787	10221	10221	10221
SAOUHSC_01255	8212	8212	8212
SAOUHSC_01000	171375	171375	171375
SAOUHSC_01871	15029	15029	15029
SAOUHSC_01903	373	373	373
rocD	326412	326412	326412
SAOUHSC_02516	12723	12723	12723
SAOUHSC_00911	599	599	599
SAOUHSC_00645	5623	5623	5623
SAOUHSC_01064	24563	24563	24563
SAOUHSC_01732	16004	16004	16004
SAOUHSC_00895	527159	527159	527159
SAOUHSC_02913	1852	1852	1852
SAOUHSC_01076	4445	4445	4445
SAOUHSC_02334	1150	1150	1150
SAOUHSC_01693	823	823	823
SAOUHSC_01139	1832	1832	1832
SAOUHSC_00184	2200	2200	2200
SAOUHSC_00942	26546	26546	26546
SAOUHSC_01989	10412	10412	10412
SAOUHSC_01034	4457	4457	4457
SAOUHSC_01720	32558	32558	32558
SAOUHSC_00217	621	621	621
SAOUHSC_00892	9978	9978	9978
SAOUHSC_02581	15669	15669	15669
SAOUHSC_00431	2356	2356	2356
SAOUHSC_02875	5416	5416	5416
SAOUHSC_02947	9460	9460	9460
recA	63877	63877	63877
SAOUHSC_00306	3735	3735	3735
SAOUHSC_00969	89	89	89
SAOUHSC_00581	2963	2963	2963
SAOUHSC_00951	100610	100610	100610
SAOUHSC_01488	7827	7798	7827
SAOUHSC_01420	8173	8173	8173
SAOUHSC_01874	5007	5007	5007
SAOUHSC_00909	13709	13709	13709
SAOUHSC_02591	3541	3541	3541
SAOUHSC_01827	93365	93365	93365
SAOUHSC_02927	313231	313231	313231
rpmJ	9697	9697	9697
SAOUHSC_02366	253029	253029	253029
SAOUHSC_T00034	734	734	734
SAOUHSC_01718	2094	2094	2094
SAOUHSC_01872	11192	11192	11192
SAOUHSC_00455	6950	6950	6950
glmU	96477	96477	96477
SAOUHSC_02982	37271	37271	37271
SAOUHSC_01382	210	210	210
SAOUHSC_01820	67035	67035	67035
SAOUHSC_02299	36090	36061	36090
SAOUHSC_01218	531499	531499	531499
SAOUHSC_02442	44568	44568	44568
SAOUHSC_01350	8760	8760	8760
SAOUHSC_01158	34585	34585	34585
SAOUHSC_00999	86128	86128	86128
SAOUHSC_02760	11613	11613	11613
SAOUHSC_00033	795	795	795
SAOUHSC_00573	54458	54458	54458
SAOUHSC_02983	8582	8582	8582
dnaA	29249	29249	29249
SAOUHSC_01204	33760	33760	33760
SAOUHSC_02112	3321	3321	3321
uhpT	3820	3820	3820
SAOUHSC_00502	10660	10660	10660
SAOUHSC_02844	42773	42773	42773
SAOUHSC_01949	2134	2134	2134
SAOUHSC_01625	60685	60685	60685
SAOUHSC_01807	58529	58529	58529
SAOUHSC_00009	50530	50530	50530
SAOUHSC_02527	24690	24690	24690
SAOUHSC_01441	3541	3500	3541
SAOUHSC_02922	37512	37512	37512
rplE	32728	32728	32728
SAOUHSC_01501	114873	114873	114873
SAOUHSC_00554	84806	84806	84806
SAOUHSC_01189	10831	10831	10831
SAOUHSC_00553	75724	75724	75724
SAOUHSC_01988	3102	3102	3102
SAOUHSC_00781	23683	23683	23683
SAOUHSC_01596	4368	4368	4368
SAOUHSC_01254	9729	9729	9729
SAOUHSC_01188	10631	10631	10631
rimM	2176	2176	2176
SAOUHSC_00457	1139	1139	1139
SAOUHSC_02712	448	448	448
SAOUHSC_00472	81994	81994	81994
SAOUHSC_02785	768	768	768
SAOUHSC_02535	734	725	734
SAOUHSC_01251	69854	69854	69854
SAOUHSC_00653	3643	3643	3643
SAOUHSC_01907	24748	24748	24748
SAOUHSC_01860	9524	9524	9524
SAOUHSC_02789	1290	1290	1290
SAOUHSC_02538	2141	2141	2141
SAOUHSC_01869	23788	23788	23788
SAOUHSC_01190	9579	9579	9579
SAOUHSC_02262	4405	4405	4405
SAOUHSC_01605	108014	108014	108014
SAOUHSC_00543	8454	8454	8454
SAOUHSC_01165	14711	14711	14711
SAOUHSC_01338	16778	16778	16778
SAOUHSC_01114	1538	1538	1538
SAOUHSC_00887	11670	11670	11670
SAOUHSC_01333	10680	10680	10680
SAOUHSC_02457	5871	5871	5871
SAOUHSC_00365	111627	111627	111627
SAOUHSC_00715	28648	28647	28648
SAOUHSC_01595	1312	1312	1312
SAOUHSC_01362	14939	14939	14939
SAOUHSC_02456	5860	5860	5860
