Feature ID	Single mutant - SM3_S6 (GE) - Expression values	Single mutant - SM3_S6 (GE) - Unique gene reads	Single mutant - SM3_S6 (GE) - Total gene reads
SAOUHSC_02521	229	229	229
SAOUHSC_00749	14070	14070	14070
SAOUHSC_02819	76	76	76
SAOUHSC_02315	12679	12679	12679
SAOUHSC_02759	5186	5186	5186
SAOUHSC_00289	92	92	92
SAOUHSC_02245	302	302	302
SAOUHSC_03005	147	147	147
SAOUHSC_00986	367	367	367
SAOUHSC_00261	1307	1307	1307
SAOUHSC_00112	18	14	18
secY_2	331	331	331
SAOUHSC_00409	206	206	206
SAOUHSC_01422	223	223	223
SAOUHSC_00991	416	416	416
SAOUHSC_02619	7345	7345	7345
SAOUHSC_02991	2813	2813	2813
SAOUHSC_01324	7814	7814	7814
SAOUHSC_01905	19	16	19
SAOUHSC_00746	2400	2400	2400
SAOUHSC_02702	128	128	128
SAOUHSC_02928	50	50	50
SAOUHSC_00266	497	497	497
SAOUHSC_00926	2700	2700	2700
SAOUHSC_00300	49383	49383	49383
SAOUHSC_00993	75	75	75
SAOUHSC_02271	192	192	192
SAOUHSC_00135	318	318	318
SAOUHSC_00077	760	760	760
SAOUHSC_01388	10	10	10
SAOUHSC_00588	382	382	382
SAOUHSC_00701	983	983	983
SAOUHSC_02156	3	3	3
SAOUHSC_00923	1338	1338	1338
SAOUHSC_01647	685	685	685
SAOUHSC_00913	52	52	52
SAOUHSC_00042	514	514	514
SAOUHSC_02378	1918	1918	1918
SAOUHSC_00927	6333	6333	6333
SAOUHSC_02008	1835	1835	1835
SAOUHSC_01984	335	335	335
SAOUHSC_00725	253	253	253
SAOUHSC_00544	5596	5560	5596
SAOUHSC_00259	632	632	632
SAOUHSC_01503	1492	1492	1492
SAOUHSC_00202	216	216	216
SAOUHSC_00357	2660	2660	2660
SAOUHSC_02795	356	356	356
SAOUHSC_01084	639	639	639
SAOUHSC_00753	398	398	398
SAOUHSC_02437	109	82	109
SAOUHSC_00044	796	796	796
SAOUHSC_01013	4796	4796	4796
SAOUHSC_00193	86	86	86
SAOUHSC_02104	43	43	43
SAOUHSC_01097	2117	2117	2117
SAOUHSC_00166	1137	1137	1137
SAOUHSC_03001	2265	2265	2265
SAOUHSC_01627	3364	3364	3364
SAOUHSC_00585	54	54	54
SAOUHSC_00837	26	26	26
SAOUHSC_00992	538	538	538
SAOUHSC_01789	7106	7106	7106
SAOUHSC_00844	1018	1018	1018
SAOUHSC_00925	2782	2782	2782
SAOUHSC_01311	75	75	75
SAOUHSC_01484	8	8	8
SAOUHSC_02883	1957	1957	1957
SAOUHSC_02309	1202	1202	1202
SAOUHSC_01072	1763	1763	1763
SAOUHSC_00618	419	419	419
SAOUHSC_02800	10	10	10
SAOUHSC_00537	1047	1047	1047
SAOUHSC_00025	7379	7379	7379
SAOUHSC_02144	578	578	578
SAOUHSC_00936	59	59	59
SAOUHSC_00072	1291	1291	1291
SAOUHSC_01088	211	211	211
SAOUHSC_02256	2491	2491	2491
SAOUHSC_00163	2653	2653	2653
SAOUHSC_00046	203	203	203
SAOUHSC_00931	336	336	336
SAOUHSC_02944	190	190	190
SAOUHSC_00030	3822	3822	3822
SAOUHSC_00924	1589	1589	1589
SAOUHSC_00258	4571	4571	4571
SAOUHSC_02246	338	338	338
SAOUHSC_02678	1159	1159	1159
SAOUHSC_01010	616	616	616
SAOUHSC_02458	10	10	10
SAOUHSC_00275	499	342	499
SAOUHSC_00368	9	9	9
SAOUHSC_01310	25483	25483	25483
SAOUHSC_00164	2307	2307	2307
SAOUHSC_02275	45	45	45
SAOUHSC_01012	1302	1302	1302
SAOUHSC_03047	250	250	250
SAOUHSC_00842	1365	1365	1365
SAOUHSC_01918	37842	37842	37842
SAOUHSC_00706	5699	5699	5699
SAOUHSC_02688	5	5	5
SAOUHSC_00636	44575	44575	44575
SAOUHSC_02622	9931	9931	9931
SAOUHSC_02722	339	339	339
SAOUHSC_02865	105	105	105
SAOUHSC_02589	5926	5926	5926
SAOUHSC_00682	1508	1508	1508
SAOUHSC_00299	397	397	397
SAOUHSC_00279	1670	1670	1670
SAOUHSC_01896	1806	1806	1806
SAOUHSC_01898	250	250	250
SAOUHSC_02528	1220	1220	1220
SAOUHSC_02973	1803	1803	1803
SAOUHSC_02570	230	230	230
SAOUHSC_02868	117	117	117
SAOUHSC_02258	1014	1014	1014
SAOUHSC_01799	24551	24551	24551
SAOUHSC_00540	273	273	273
SAOUHSC_01635	994	994	994
SAOUHSC_00669	6659	6659	6659
SAOUHSC_02806	22735	22735	22735
SAOUHSC_01919	54675	54675	54675
SAOUHSC_00274	766	748	766
SAOUHSC_00744	51	51	51
SAOUHSC_01945	575	575	575
SAOUHSC_00965	1935	1935	1935
SAOUHSC_02609	149	149	149
SAOUHSC_00313	89268	89268	89268
SAOUHSC_01011	600	600	600
SAOUHSC_02666	3830	3830	3830
SAOUHSC_00800	2204	2204	2204
SAOUHSC_01304	1041	1041	1041
SAOUHSC_00843	483	483	483
