Feature ID	Single mutant - SM1_S4 (GE) - Expression values	Single mutant - SM1_S4 (GE) - Unique gene reads	Single mutant - SM1_S4 (GE) - Total gene reads
SAOUHSC_02588	6	6	6
SAOUHSC_02808	8839	8839	8839
SAOUHSC_01292	40	40	40
SAOUHSC_01090	5	5	5
SAOUHSC_01055a	471	471	471
SAOUHSC_02886	22	22	22
SAOUHSC_01111	44	44	44
SAOUHSC_00841	598	598	598
SAOUHSC_02914	3	3	3
SAOUHSC_00254	47	47	47
SAOUHSC_00915	45	45	45
SAOUHSC_01923	183	183	183
SAOUHSC_00145	8291	8291	8291
SAOUHSC_02314	31776	31776	31776
SAOUHSC_02990	18649	18649	18649
SAOUHSC_00076	509	509	509
SAOUHSC_00074	5238	5238	5238
SAOUHSC_00249	827	827	827
SAOUHSC_A02331	90	90	90
SAOUHSC_01897	112	112	112
SAOUHSC_01353	236	236	236
SAOUHSC_02153	301	301	301
SAOUHSC_01957	553	553	553
SAOUHSC_02618	4668	4668	4668
SAOUHSC_02858	61	61	61
SAOUHSC_00704	2464	2464	2464
SAOUHSC_00612	127	127	127
SAOUHSC_00674	450	450	450
SAOUHSC_00775	498	498	498
SAOUHSC_00257	11236	11236	11236
SAOUHSC_00203	158	158	158
SAOUHSC_02157	934	934	934
SAOUHSC_00806	914	914	914
SAOUHSC_01363	2566	2566	2566
SAOUHSC_02664	2574	2574	2574
SAOUHSC_01030	748	748	748
SAOUHSC_00272	319	319	319
SAOUHSC_02798	10953	10953	10953
SAOUHSC_00808	3247	3247	3247
SAOUHSC_01120	2009	2009	2009
SAOUHSC_01394	370	370	370
SAOUHSC_00250	905	905	905
SAOUHSC_00205	3	3	3
SAOUHSC_00650	1	1	1
SAOUHSC_01294	1	1	1
SAOUHSC_01300	1	1	1
SAOUHSC_01765	3	3	3
SAOUHSC_01937	2	2	2
SAOUHSC_02339	1	1	1
SAOUHSC_02451	89	89	89
SAOUHSC_02616	1	1	1
SAOUHSC_02889	0	0	0
SAOUHSC_02940	1	1	1
SAOUHSC_A00526	1	1	1
SAOUHSC_02454	125	125	125
SAOUHSC_01603	329	322	329
SAOUHSC_02813	4124	4124	4124
SAOUHSC_01409	142	140	142
SAOUHSC_00360	964	964	964
SAOUHSC_00084	314	314	314
SAOUHSC_02521	374	374	374
SAOUHSC_00749	14697	14697	14697
SAOUHSC_02819	49	49	49
SAOUHSC_02315	10869	10869	10869
SAOUHSC_02759	4367	4367	4367
SAOUHSC_00289	80	80	80
SAOUHSC_02245	277	277	277
SAOUHSC_03005	162	162	162
SAOUHSC_00986	341	341	341
SAOUHSC_00261	970	970	970
SAOUHSC_00112	42	26	42
secY_2	196	196	196
SAOUHSC_00409	152	152	152
SAOUHSC_01422	216	216	216
SAOUHSC_00991	630	630	630
SAOUHSC_02619	4872	4872	4872
SAOUHSC_02991	5864	5864	5864
SAOUHSC_01324	5156	5156	5156
SAOUHSC_01905	19	17	19
SAOUHSC_00746	2357	2357	2357
SAOUHSC_02702	107	107	107
SAOUHSC_02928	92	92	92
SAOUHSC_00266	452	452	452
SAOUHSC_00926	1939	1939	1939
SAOUHSC_00300	35119	35119	35119
SAOUHSC_00993	43	43	43
SAOUHSC_02271	176	176	176
SAOUHSC_00135	420	420	420
SAOUHSC_00077	1033	1033	1033
SAOUHSC_01388	8	8	8
SAOUHSC_00588	367	367	367
SAOUHSC_00701	847	847	847
SAOUHSC_02156	10	10	10
SAOUHSC_00923	1208	1208	1208
SAOUHSC_01647	855	855	855
SAOUHSC_00913	35	35	35
SAOUHSC_00042	567	567	567
SAOUHSC_02378	2442	2442	2442
SAOUHSC_00927	4358	4358	4358
SAOUHSC_02008	2011	2011	2011
SAOUHSC_01984	444	444	444
SAOUHSC_00725	281	281	281
SAOUHSC_00544	6094	6049	6094
SAOUHSC_00259	502	502	502
SAOUHSC_01503	1574	1574	1574
SAOUHSC_00202	134	134	134
SAOUHSC_00357	2280	2280	2280
SAOUHSC_02795	400	400	400
SAOUHSC_01084	675	675	675
SAOUHSC_00753	544	544	544
SAOUHSC_02437	128	99	128
SAOUHSC_00044	609	609	609
SAOUHSC_01013	5470	5470	5470
SAOUHSC_00193	77	77	77
SAOUHSC_02104	58	58	58
SAOUHSC_01097	2285	2285	2285
SAOUHSC_00166	1308	1308	1308
SAOUHSC_03001	4494	4494	4494
SAOUHSC_01627	3936	3936	3936
SAOUHSC_00585	52	52	52
SAOUHSC_00837	13	13	13
SAOUHSC_00992	378	378	378
SAOUHSC_01789	6643	6643	6643
SAOUHSC_00844	906	906	906
SAOUHSC_00925	2184	2184	2184
SAOUHSC_01311	47	47	47
SAOUHSC_01484	13	13	13
SAOUHSC_02883	1657	1657	1657
SAOUHSC_02309	1017	1017	1017
SAOUHSC_01072	2291	2291	2291
SAOUHSC_00618	619	619	619
SAOUHSC_02800	8	8	8
SAOUHSC_00537	1392	1392	1392
SAOUHSC_00025	4621	4621	4621
SAOUHSC_02144	981	981	981
SAOUHSC_00936	65	65	65
SAOUHSC_00072	1816	1816	1816
SAOUHSC_01088	259	259	259
SAOUHSC_02256	2860	2860	2860
SAOUHSC_00163	2915	2915	2915
SAOUHSC_00046	220	220	220
SAOUHSC_00931	324	324	324
SAOUHSC_02944	239	239	239
SAOUHSC_00030	3619	3619	3619
SAOUHSC_00924	1483	1483	1483
SAOUHSC_00258	3657	3657	3657
SAOUHSC_02246	294	294	294
SAOUHSC_02678	1078	1078	1078
SAOUHSC_01010	837	837	837
SAOUHSC_02458	24	24	24
SAOUHSC_00275	507	369	507
SAOUHSC_00368	31	31	31
SAOUHSC_01310	22778	22778	22778
SAOUHSC_00164	2626	2626	2626
SAOUHSC_02275	40	40	40
SAOUHSC_01012	1580	1580	1580
SAOUHSC_03047	197	197	197
SAOUHSC_00842	1033	1033	1033
SAOUHSC_01918	52849	52849	52849
SAOUHSC_00706	3144	3144	3144
SAOUHSC_02688	8	8	8
SAOUHSC_00636	69280	69280	69280
SAOUHSC_02622	9262	9262	9262
SAOUHSC_02722	392	392	392
SAOUHSC_02865	82	82	82
SAOUHSC_02589	7356	7356	7356
SAOUHSC_00682	1962	1962	1962
SAOUHSC_00299	1301	1301	1301
SAOUHSC_00279	1985	1985	1985
SAOUHSC_01896	1528	1528	1528
SAOUHSC_01898	241	241	241
SAOUHSC_02528	1310	1310	1310
SAOUHSC_02973	1222	1222	1222
SAOUHSC_02570	262	262	262
SAOUHSC_02868	150	150	150
SAOUHSC_02258	1338	1338	1338
SAOUHSC_01799	20123	20123	20123
SAOUHSC_00540	505	505	505
SAOUHSC_01635	1095	1095	1095
SAOUHSC_00669	6715	6715	6715
SAOUHSC_02806	10762	10762	10762
SAOUHSC_01919	73842	73842	73842
SAOUHSC_00274	676	659	676
SAOUHSC_00744	35	34	35
SAOUHSC_01945	604	604	604
SAOUHSC_00965	2318	2318	2318
SAOUHSC_02609	83	83	83
SAOUHSC_00313	102057	102057	102057
SAOUHSC_01011	758	758	758
SAOUHSC_02666	3247	3247	3247
SAOUHSC_00800	2281	2281	2281
SAOUHSC_01304	629	629	629
SAOUHSC_00843	511	511	511
SAOUHSC_02465	5007	5007	5007
SAOUHSC_01014	4709	4709	4709
recX	4008	4008	4008
SAOUHSC_00089	118	118	118
SAOUHSC_01931	910	910	910
SAOUHSC_01085	648	648	648
SAOUHSC_01356	3017	3017	3017
SAOUHSC_00421	603	603	603
SAOUHSC_01954	118	118	118
SAOUHSC_01879	20388	20388	20388
SAOUHSC_00862	2879	2879	2879
SAOUHSC_01112	368	368	368
SAOUHSC_02651	2863	2863	2863
SAOUHSC_01604	7544	7474	7544
SAOUHSC_00134	682	682	682
SAOUHSC_01729	8437	8437	8437
SAOUHSC_00130	1075	1075	1075
SAOUHSC_02462	12	12	12
SAOUHSC_03018	285	285	285
SAOUHSC_00269	12171	9781	12171
SAOUHSC_02145	498	498	498
SAOUHSC_02794	1160	1160	1160
SAOUHSC_02811	11592	11592	11592
SAOUHSC_1342a	5423	5423	5423
SAOUHSC_00262	5394	5394	5394
SAOUHSC_00977	535	535	535
SAOUHSC_03004	156	156	156
SAOUHSC_02988	988	988	988
SAOUHSC_00347	1035	1035	1035
SAOUHSC_00838	9046	9046	9046
SAOUHSC_02335	6743	6743	6743
SAOUHSC_02608	1947	1947	1947
SAOUHSC_02475	505	505	505
SAOUHSC_01395	755	755	755
SAOUHSC_02624	4687	4687	4687
SAOUHSC_00389	69	69	69
SAOUHSC_00395	459	459	459
SAOUHSC_01137	5609	5609	5609
SAOUHSC_01922	2200	2200	2200
SAOUHSC_00199	20322	20322	20322
SAOUHSC_00700	1534	1533	1534
SAOUHSC_01124	83	83	83
SAOUHSC_02272	453	453	453
SAOUHSC_02631	3821	3821	3821
SAOUHSC_01155	2445	2445	2445
SAOUHSC_01015	3717	3717	3717
SAOUHSC_01173	1140	1140	1140
SAOUHSC_00634	132860	132860	132860
SAOUHSC_00748	2202	2202	2202
SAOUHSC_01016	2072	2072	2072
SAOUHSC_02971	815	815	815
SAOUHSC_00637	124655	124655	124655
SAOUHSC_00078	680	680	680
SAOUHSC_01999	7683	7683	7683
SAOUHSC_00131	451	451	451
SAOUHSC_02620	1445	1445	1445
SAOUHSC_01009	3588	3588	3588
SAOUHSC_02641	229	229	229
SAOUHSC_02777	3098	3098	3098
SAOUHSC_00175	3393	3393	3393
SAOUHSC_02585	6931	6931	6931
SAOUHSC_02409	70575	70575	70575
SAOUHSC_01023	50	50	50
SAOUHSC_02549	9181	9181	9181
SAOUHSC_02519	6992	6992	6992
SAOUHSC_01073	1891	1891	1891
SAOUHSC_01800	15216	15216	15216
SAOUHSC_00312	26242	26242	26242
SAOUHSC_00922	290	290	290
SAOUHSC_00497	2830	2830	2830
SAOUHSC_01942	42	42	42
SAOUHSC_00828	1534	1534	1534
SAOUHSC_02670	6112	6112	6112
SAOUHSC_02737	9013	9013	9013
SAOUHSC_01952	480	480	480
SAOUHSC_02575	3607	3607	3607
SAOUHSC_00351	273	273	273
SAOUHSC_00774	1820	1820	1820
SAOUHSC_00697	350	350	350
SAOUHSC_00290	10408	10408	10408
SAOUHSC_00548	6147	6147	6147
SAOUHSC_01921	1471	1471	1471
SAOUHSC_02524	3162	3162	3162
SAOUHSC_00662	1186	1186	1186
SAOUHSC_00053	182	182	182
SAOUHSC_01067	5551	5551	5551
SAOUHSC_00311	19738	19738	19738
SAOUHSC_00673	2426	2426	2426
SAOUHSC_00088	101	101	101
SAOUHSC_02529	5265	5265	5265
SAOUHSC_02744	3273	3273	3273
SAOUHSC_00162	26332	26332	26332
trpC	118	118	118
SAOUHSC_00229	925	925	925
SAOUHSC_02650	16031	16031	16031
SAOUHSC_02450	920	920	920
SAOUHSC_00050	1196	1196	1196
SAOUHSC_02605	1239	1239	1239
SAOUHSC_00264	386	386	386
SAOUHSC_00619	16941	16941	16941
SAOUHSC_00182	206	206	206
SAOUHSC_01387	150	150	150
SAOUHSC_02756	670	670	670
SAOUHSC_01396	853	853	853
SAOUHSC_01655	1077	1077	1077
SAOUHSC_01847	3145	3145	3145
SAOUHSC_00874	2405	2405	2405
SAOUHSC_00280	4709	4709	4709
SAOUHSC_00197	14725	14725	14725
SAOUHSC_00363	1755	1755	1755
SAOUHSC_02696	1141	1141	1141
SAOUHSC_00195	16444	16444	16444
SAOUHSC_01336	4822	4822	4822
SAOUHSC_00105	277	277	277
SAOUHSC_02599	1366	1366	1366
SAOUHSC_01798	903	903	903
SAOUHSC_03016	1290	1290	1290
SAOUHSC_00079	1155	1155	1155
SAOUHSC_00949	1664	1664	1664
SAOUHSC_00049	5688	5688	5688
SAOUHSC_00325	125	125	125
SAOUHSC_00173	2134	2134	2134
SAOUHSC_02731	8565	8565	8565
SAOUHSC_00376	154	154	154
SAOUHSC_01403	167967	167967	167967
SAOUHSC_00104	204	204	204
SAOUHSC_02937	2967	2967	2967
SAOUHSC_02773	21262	21262	21262
SAOUHSC_00198	20222	20222	20222
SAOUHSC_02390	24223	24223	24223
SAOUHSC_00335	1444	1444	1444
SAOUHSC_02923	1313	1313	1313
SAOUHSC_01617	5348	5348	5348
SAOUHSC_02810	19214	19214	19214
SAOUHSC_01180	3173	3173	3173
gpmA	31558	31558	31558
SAOUHSC_01707	11044	11044	11044
SAOUHSC_02476	729	729	729
SAOUHSC_01301	2	2	2
SAOUHSC_01397	933	933	933
SAOUHSC_01317	12840	12840	12840
ulaA	62101	62101	62101
SAOUHSC_00196	27130	27130	27130
SAOUHSC_00133	2268	2268	2268
SAOUHSC_00515	2523	2523	2523
SAOUHSC_01948	1600	1600	1600
SAOUHSC_00328	1205	1205	1205
SAOUHSC_01303	800	800	800
SAOUHSC_03022	6295	6295	6295
SAOUHSC_00383	898	898	898
SAOUHSC_01082	1005	1005	1005
SAOUHSC_00324	1702	1702	1702
SAOUHSC_02882	1555	1555	1555
SAOUHSC_00394	128	128	128
SAOUHSC_00329	828	828	828
SAOUHSC_00620	8035	8035	8035
SAOUHSC_00008	14539	14539	14539
SAOUHSC_01268	649	649	649
SAOUHSC_00041	1230	1230	1230
SAOUHSC_02837	309	309	309
SAOUHSC_00384	138	138	138
SAOUHSC_00080	1608	1606	1608
SAOUHSC_02001	11291	11291	11291
SAOUHSC_00961	71	71	71
SAOUHSC_01489	83	83	83
SAOUHSC_00136	50	50	50
SAOUHSC_01134	426	426	426
SAOUHSC_00220	5308	5308	5308
SAOUHSC_01650	2415	2415	2415
SAOUHSC_01849	6253	6253	6253
SAOUHSC_02151	1551	1551	1551
SAOUHSC_03048	121	121	121
SAOUHSC_02430	23776	23776	23776
SAOUHSC_00941	6825	6825	6825
SAOUHSC_01710	3461	3461	3461
SAOUHSC_00065	2282	2282	2282
SAOUHSC_02569	105	105	105
SAOUHSC_00948	18338	18338	18338
SAOUHSC_02905	387	387	387
SAOUHSC_03026	1161	1161	1161
SAOUHSC_01917	118	118	118
SAOUHSC_03028	5187	5187	5187
SAOUHSC_00178	3029	3029	3029
SAOUHSC_00256	1758	1758	1758
SAOUHSC_02912	21268	21268	21268
SAOUHSC_00132	291200	291200	291200
SAOUHSC_00422	1540	1540	1540
SAOUHSC_00962	785	785	785
SAOUHSC_02931	632	632	632
SAOUHSC_02986	647	647	647
SAOUHSC_01671	1900	1900	1900
SAOUHSC_02761	1298	1298	1298
SAOUHSC_01181	9093	9093	9093
SAOUHSC_02248	1176	1176	1176
SAOUHSC_01213	6024	6024	6024
SAOUHSC_01220	315	315	315
SAOUHSC_00221	8702	8702	8702
SAOUHSC_00740	2470	2470	2470
SAOUHSC_01464	18629	18629	18629
SAOUHSC_01899	267	267	267
SAOUHSC_01691	384	384	384
SAOUHSC_00222	11889	11889	11889
SAOUHSC_01110	1844	1844	1844
SAOUHSC_01008	1333	1333	1333
SAOUHSC_02449	1438	1438	1438
SAOUHSC_00845	129514	129514	129514
SAOUHSC_01414	4076	4076	4076
SAOUHSC_01640	71	71	71
SAOUHSC_02660	5599	5599	5599
SAOUHSC_01846	49596	49596	49596
SAOUHSC_00479	11802	11802	11802
SAOUHSC_02435	1236	1236	1236
SAOUHSC_00322	5235	5235	5235
SAOUHSC_02743	1823	1823	1823
SAOUHSC_00988	2103	2103	2103
SAOUHSC_02733	12336	12336	12336
SAOUHSC_01768	6659	6659	6659
SAOUHSC_02555	3974	3974	3974
SAOUHSC_00825	10569	10569	10569
SAOUHSC_02767	3402	3402	3402
SAOUHSC_01385	438	438	438
SAOUHSC_02960	4221	4221	4221
SAOUHSC_00276	758	578	758
SAOUHSC_02464	7538	7538	7538
SAOUHSC_00393	101	101	101
SAOUHSC_02471	1071	1071	1071
SAOUHSC_00007	2279	2279	2279
SAOUHSC_02593	2341	2341	2341
SAOUHSC_00176	4181	4181	4181
SAOUHSC_00885	7463	7463	7463
SAOUHSC_00177	5165	5165	5165
SAOUHSC_02719	605	605	605
SAOUHSC_02645	574	574	574
SAOUHSC_02842	220	220	220
nrdI	9291	8825	9291
SAOUHSC_00151	8059	8059	8059
SAOUHSC_02568	4117	4117	4117
SAOUHSC_01399	1865	1865	1865
SAOUHSC_00362	9374	9374	9374
SAOUHSC_00556	24931	24931	24931
SAOUHSC_00277	1191	1138	1191
SAOUHSC_02127	867	867	867
SAOUHSC_02911	2153	2153	2153
SAOUHSC_02014	3024	3024	3024
SAOUHSC_02790	6565	6565	6565
SAOUHSC_00678	8582	8582	8582
SAOUHSC_01296	657	657	657
SAOUHSC_02614	3506	3506	3506
SAOUHSC_01830	3406	3406	3406
SAOUHSC_01133	1767	1767	1767
SAOUHSC_01366	754	754	754
SAOUHSC_01657	1793	1793	1793
SAOUHSC_01440	568	568	568
SAOUHSC_01884	127869	127869	127869
SAOUHSC_02472	2262	2262	2262
SAOUHSC_00938	14130	14130	14130
SAOUHSC_00738	102706	102706	102706
SAOUHSC_02658	578	578	578
SAOUHSC_02910	5909	5909	5909
SAOUHSC_01835	2822	2816	2822
SAOUHSC_00314	2210	2210	2210
SAOUHSC_00707	4611	4611	4611
SAOUHSC_00052	138	134	138
SAOUHSC_01997	18281	18281	18281
SAOUHSC_02851	87	87	87
SAOUHSC_02801	13388	13388	13388
SAOUHSC_01986	9304	9304	9304
SAOUHSC_00143	2647	2647	2647
SAOUHSC_00081	833	833	833
SAOUHSC_02119	21635	21635	21635
SAOUHSC_01507	80	80	80
SAOUHSC_00204	8487	8487	8487
SAOUHSC_00810	490	490	490
SAOUHSC_00940	6769	6769	6769
SAOUHSC_00265	566	566	566
SAOUHSC_02739	5190	5190	5190
SAOUHSC_02259	8075	8075	8075
SAOUHSC_02523	1697	1697	1697
SAOUHSC_00586	570	570	570
SAOUHSC_02694	3058	3058	3058
SAOUHSC_01968	9433	9433	9433
SAOUHSC_02276	2826	2826	2826
SAOUHSC_03049	14221	14221	14221
SAOUHSC_02778	12558	12558	12558
SAOUHSC_01036	9752	9752	9752
SAOUHSC_02533	264	264	264
SAOUHSC_00297	5224	5224	5224
SAOUHSC_01062	8929	8929	8929
SAOUHSC_00218	38	38	38
SAOUHSC_00899	862	862	862
SAOUHSC_00082	1302	1302	1302
SAOUHSC_02863	146	146	146
SAOUHSC_00326	326	326	326
SAOUHSC_02587	8890	8890	8890
SAOUHSC_00381	427	427	427
SAOUHSC_01805	653	483	653
SAOUHSC_00359	1962	1962	1962
SAOUHSC_00880	2893	2893	2893
SAOUHSC_02949	1081	1081	1081
SAOUHSC_02695	1642	1642	1642
SAOUHSC_01279	3651	3651	3651
SAOUHSC_00410	1265	1265	1265
SAOUHSC_00555	2291	2291	2291
SAOUHSC_02553	2323	2323	2323
SAOUHSC_01343	6083	6083	6083
SAOUHSC_02247	952	952	952
SAOUHSC_02926	62869	62869	62869
purH	6174	6174	6174
SAOUHSC_02861	4672	4672	4672
SAOUHSC_00043	94	94	94
SAOUHSC_00392	476	476	476
SAOUHSC_02461	907	907	907
SAOUHSC_01398	1155	1155	1155
SAOUHSC_01908	25387	25387	25387
SAOUHSC_02699	13992	13980	13992
SAOUHSC_01880	105	75	105
SAOUHSC_01781	19039	19039	19039
SAOUHSC_02546	5972	5972	5972
SAOUHSC_00742	53306	52828	53306
SAOUHSC_02729	165221	165221	165221
SAOUHSC_01706	1178	1178	1178
SAOUHSC_02700	5566	5566	5566
SAOUHSC_00181	7155	7155	7155
SAOUHSC_02093	4038	4038	4038
SAOUHSC_02304	8425	8425	8425
SAOUHSC_00621	973	973	973
SAOUHSC_02532	567	567	567
SAOUHSC_01607	37	37	37
SAOUHSC_02775	1130	1130	1130
SAOUHSC_00062	94	94	94
SAOUHSC_02367	3968	3968	3968
SAOUHSC_02147	11166	11166	11166
SAOUHSC_01051	5450	5450	5450
SAOUHSC_00807	2165	2165	2165
SAOUHSC_00651	6276	6276	6276
SAOUHSC_02654	7068	7068	7068
SAOUHSC_00705	1072	1072	1072
SAOUHSC_02436	9860	9860	9860
SAOUHSC_02648	2840	2840	2840
SAOUHSC_01920	4410	4410	4410
SAOUHSC_02826	1257	1257	1257
SAOUHSC_00268	14934	14934	14934
SAOUHSC_00377	240	240	240
SAOUHSC_A02794	678	678	678
SAOUHSC_00106	351	351	351
SAOUHSC_02612	8654	8654	8654
SAOUHSC_01900	221	221	221
SAOUHSC_02691	1675	1675	1675
SAOUHSC_02552	1077	1077	1077
SAOUHSC_01639	40	40	40
holA	995	995	995
SAOUHSC_00830	2465	2465	2465
SAOUHSC_00454	6793	6793	6793
SAOUHSC_00267	362	362	362
SAOUHSC_00835	20723	20723	20723
SAOUHSC_00508	11200	11200	11200
SAOUHSC_00607	7737	7737	7737
SAOUHSC_01319	354	354	354
SAOUHSC_01478	1167	1167	1167
SAOUHSC_00605	4714	4714	4714
SAOUHSC_00987	2039	2039	2039
SAOUHSC_01709	16759	16759	16759
SAOUHSC_01728	5390	5390	5390
SAOUHSC_00989	4523	4523	4523
SAOUHSC_00086	3708	3708	3708
SAOUHSC_02460	12193	12193	12193
SAOUHSC_00440	4	4	4
SAOUHSC_01992	8696	8696	8696
SAOUHSC_02888	456	456	456
SAOUHSC_02741	2267	2267	2267
SAOUHSC_02843	4187	4187	4187
SAOUHSC_02783	676	676	676
SAOUHSC_00083	1283	1283	1283
SAOUHSC_00840	4161	4161	4161
SAOUHSC_01313	960	960	960
SAOUHSC_02003	4239	4239	4239
SAOUHSC_02831	1531	1531	1531
SAOUHSC_00864	9888	9888	9888
SAOUHSC_00428	5631	5631	5631
SAOUHSC_02992	558	558	558
SAOUHSC_02403	74011	74011	74011
SAOUHSC_00888	8042	8042	8042
SAOUHSC_01708	9716	9716	9716
SAOUHSC_02686	2893	2893	2893
SAOUHSC_01340	3873	3873	3873
SAOUHSC_00698	7402	7402	7402
SAOUHSC_01975	19678	19678	19678
SAOUHSC_02924	411	411	411
SAOUHSC_00370	6077	6077	6077
SAOUHSC_01462	35843	35843	35843
SAOUHSC_00535	89211	89211	89211
SAOUHSC_02757	2351	2351	2351
SAOUHSC_02780	1551	1551	1551
SAOUHSC_01367	354	354	354
SAOUHSC_01941	66	66	66
SAOUHSC_00026	502	195	502
SAOUHSC_00683	1278	1278	1278
SAOUHSC_00687	4704	4704	4704
SAOUHSC_A01081	26	26	26
SAOUHSC_02520	9200	9200	9200
SAOUHSC_01400	1914	1914	1914
SAOUHSC_02374	3238	3238	3238
SAOUHSC_02625	8281	8281	8281
SAOUHSC_02547	7188	7188	7188
SAOUHSC_00304	4863	4863	4863
SAOUHSC_00378	409	409	409
SAOUHSC_00366	26240	26240	26240
SAOUHSC_02846	7321	7321	7321
SAOUHSC_00180	6338	6338	6338
SAOUHSC_02584	4596	4596	4596
SAOUHSC_00367	4836	4836	4836
SAOUHSC_02308	11322	11322	11322
SAOUHSC_02766	1116	1116	1116
SAOUHSC_02828	2472	2472	2472
SAOUHSC_02829	17556	17556	17556
SAOUHSC_02803	4053	4012	4053
SAOUHSC_02626	9392	9392	9392
SAOUHSC_00702	4339	4339	4339
SAOUHSC_01452	93	93	93
SAOUHSC_02640	349	349	349
SAOUHSC_02862	37602	37602	37602
SAOUHSC_00371	35244	35244	35244
SAOUHSC_01018	7257	7257	7257
SAOUHSC_01762	4870	4870	4870
SAOUHSC_02417	56031	56031	56031
SAOUHSC_01407	12204	12204	12204
SAOUHSC_02600	10188	10188	10188
SAOUHSC_01152	4760	4760	4760
SAOUHSC_02621	963	963	963
SAOUHSC_00592	612	612	612
SAOUHSC_00010	411	411	411
SAOUHSC_01656	2661	2661	2661
SAOUHSC_00760	6428	6428	6428
SAOUHSC_00765	339	339	339
SAOUHSC_02669	5363	5363	5363
SAOUHSC_01991	488	488	488
