Feature ID	Single mutant - SM1_S4 (GE) - Expression values	Single mutant - SM1_S4 (GE) - Unique gene reads	Single mutant - SM1_S4 (GE) - Total gene reads
SAOUHSC_01037	6	6	6
SAOUHSC_00303	1	1	1
SAOUHSC_00978	24	24	24
SAOUHSC_02313	1	1	1
SAOUHSC_02518	0	0	0
SAOUHSC_A02577	0	0	0
SAOUHSC_01295	4	4	4
SAOUHSC_02705	0	0	0
SAOUHSC_01290	16	16	16
SAOUHSC_01291	2	2	2
SAOUHSC_02732	1	1	1
SAOUHSC_T00016	0	0	0
SAOUHSC_00823	68	68	68
SAOUHSC_02515	330	330	330
SAOUHSC_01930	17	17	17
SAOUHSC_02925	28	28	28
SAOUHSC_00069	498132	498132	498132
SAOUHSC_02312	5682	5682	5682
SAOUHSC_01357	77	77	77
SAOUHSC_02771	88	88	88
SAOUHSC_01315	5	5	5
SAOUHSC_00244	138	138	138
SAOUHSC_A02450	16	16	16
SAOUHSC_02799	23	23	23
SAOUHSC_02832	4	4	4
SAOUHSC_01902	48	48	48
SAOUHSC_02109	6	6	6
SAOUHSC_02657	2	2	2
SAOUHSC_01704	37	37	37
SAOUHSC_02603	340	340	340
SAOUHSC_01113	20	20	20
SAOUHSC_00853	15	15	15
SAOUHSC_01637	29	28	29
SAOUHSC_01421	4	4	4
SAOUHSC_01305	22	22	22
SAOUHSC_00253	3822	3822	3822
SAOUHSC_02311	10452	10452	10452
SAOUHSC_00599	62	62	62
SAOUHSC_01264	2793	2793	2793
SAOUHSC_02821	151	151	151
SAOUHSC_01628	164	164	164
SAOUHSC_00545	27644	27313	27644
SAOUHSC_00232	36718	36718	36718
SAOUHSC_01841	36	36	36
SAOUHSC_00087	0	0	0
SAOUHSC_00470	1	1	1
SAOUHSC_01230	7	7	7
SAOUHSC_02141	2	2	2
SAOUHSC_T00052	77	2	77
SAOUHSC_02566	2264	2264	2264
SAOUHSC_02338	592	592	592
SAOUHSC_02310	3844	3844	3844
SAOUHSC_R0002	27	0	27
SAOUHSC_02856	21	21	21
SAOUHSC_02820	448	448	448
SAOUHSC_01297	72	72	72
SAOUHSC_00233	94599	94599	94599
SAOUHSC_1307a	18	18	18
SAOUHSC_00916	29	29	29
SAOUHSC_01331	1	1	1
SAOUHSC_00270	455	455	455
SAOUHSC_02701	170	170	170
SAOUHSC_01863	917	917	917
SAOUHSC_01119	430	430	430
SAOUHSC_00824	184	184	184
SAOUHSC_01131	710	710	710
SAOUHSC_01293	6	6	6
SAOUHSC_02809	4347	4347	4347
SAOUHSC_02129	31	31	31
SAOUHSC_00718	263	263	263
SAOUHSC_00492	166	166	166
SAOUHSC_01024	2410	2410	2410
SAOUHSC_02455	89	89	89
SAOUHSC_02419	282	282	282
SAOUHSC_03002	130	130	130
SAOUHSC_01971	138	138	138
SAOUHSC_02432	4	4	4
SAOUHSC_00589	86	86	86
SAOUHSC_02452	228	228	228
SAOUHSC_00238	4	4	4
SAOUHSC_01123	338	338	338
SAOUHSC_02607	18590	18590	18590
SAOUHSC_00045	20	20	20
SAOUHSC_01101	64	64	64
SAOUHSC_02606	15961	15961	15961
SAOUHSC_03045	22551	22551	22551
SAOUHSC_00040	4	4	4
SAOUHSC_00826	2711	2711	2711
SAOUHSC_00070	2930	2930	2930
SAOUHSC_02453	193	193	193
SAOUHSC_T00020	8	0	8
SAOUHSC_01389	190	190	190
SAOUHSC_00251	694	694	694
SAOUHSC_00972	604	604	604
SAOUHSC_02393	462	462	462
SAOUHSC_03003	13	13	13
SAOUHSC_00591	183	183	183
SAOUHSC_01956	163	163	163
SAOUHSC_00593	105	105	105
SAOUHSC_01334	654	654	654
SAOUHSC_00446	9	9	9
SAOUHSC_02470	294	294	294
SAOUHSC_00852	2	2	2
SAOUHSC_03046	370	370	370
SAOUHSC_00747	1118	1118	1118
SAOUHSC_00255	198	198	198
SAOUHSC_00260	112	112	112
SAOUHSC_00973	8537	8537	8537
SAOUHSC_02572	706	706	706
SAOUHSC_01950	28	28	28
SAOUHSC_02817	11	11	11
SAOUHSC_03000	28	28	28
SAOUHSC_00075	343	343	343
SAOUHSC_02320	2812	2812	2812
SAOUHSC_00271	874	874	874
SAOUHSC_00144	91605	91605	91605
