Feature ID	Wild-type - WT1_S7 (GE) - Expression values	Wild-type - WT1_S7 (GE) - Unique gene reads	Wild-type - WT1_S7 (GE) - Total gene reads
SAOUHSC_01037	10	10	10
SAOUHSC_00303	4	4	4
SAOUHSC_00978	94	94	94
SAOUHSC_02313	3	3	3
SAOUHSC_02518	6	6	6
SAOUHSC_A02577	2	2	2
SAOUHSC_01295	10	10	10
SAOUHSC_02705	3	3	3
SAOUHSC_01290	37	37	37
SAOUHSC_01291	3	3	3
SAOUHSC_02732	2	2	2
SAOUHSC_T00016	1	0	1
SAOUHSC_00823	205	205	205
SAOUHSC_02515	808	808	808
SAOUHSC_01930	21	21	21
SAOUHSC_02925	49	49	49
SAOUHSC_00069	1497470	1497470	1497470
SAOUHSC_02312	20291	20291	20291
SAOUHSC_01357	87	87	87
SAOUHSC_02771	117	117	117
SAOUHSC_01315	10	10	10
SAOUHSC_00244	280	280	280
SAOUHSC_A02450	62	62	62
SAOUHSC_02799	39	39	39
SAOUHSC_02832	13	13	13
SAOUHSC_01902	80	80	80
SAOUHSC_02109	8	8	8
SAOUHSC_02657	4	4	4
SAOUHSC_01704	46	46	46
SAOUHSC_02603	649	649	649
SAOUHSC_01113	37	37	37
SAOUHSC_00853	33	33	33
SAOUHSC_01637	46	45	46
SAOUHSC_01421	6	6	6
SAOUHSC_01305	51	51	51
SAOUHSC_00253	12330	12330	12330
SAOUHSC_02311	31713	31713	31713
SAOUHSC_00599	99	99	99
SAOUHSC_01264	5351	5351	5351
SAOUHSC_02821	258	258	258
SAOUHSC_01628	198	198	198
SAOUHSC_00545	68288	67396	68288
SAOUHSC_00232	88305	88305	88305
SAOUHSC_01841	52	52	52
SAOUHSC_00087	2	2	2
SAOUHSC_00470	1	1	1
SAOUHSC_01230	35	35	35
SAOUHSC_02141	1	1	1
SAOUHSC_T00052	118	3	118
SAOUHSC_02566	3774	3774	3774
SAOUHSC_02338	867	867	867
SAOUHSC_02310	10677	10677	10677
SAOUHSC_R0002	48	0	48
SAOUHSC_02856	22	22	22
SAOUHSC_02820	928	928	928
SAOUHSC_01297	98	98	98
SAOUHSC_00233	241168	241168	241168
SAOUHSC_1307a	32	32	32
SAOUHSC_00916	60	60	60
SAOUHSC_01331	1	1	1
SAOUHSC_00270	720	720	720
SAOUHSC_02701	372	372	372
SAOUHSC_01863	1316	1316	1316
SAOUHSC_01119	712	712	712
SAOUHSC_00824	267	267	267
SAOUHSC_01131	1356	1356	1356
SAOUHSC_01293	13	13	13
SAOUHSC_02809	15124	15124	15124
SAOUHSC_02129	30	30	30
SAOUHSC_00718	351	351	351
SAOUHSC_00492	307	307	307
SAOUHSC_01024	2601	2601	2601
SAOUHSC_02455	155	155	155
SAOUHSC_02419	439	439	439
SAOUHSC_03002	141	141	141
SAOUHSC_01971	182	182	182
SAOUHSC_02432	9	9	9
SAOUHSC_00589	90	90	90
SAOUHSC_02452	366	366	366
SAOUHSC_00238	3	3	3
SAOUHSC_01123	595	595	595
SAOUHSC_02607	34472	34472	34472
SAOUHSC_00045	51	51	51
SAOUHSC_01101	86	86	86
SAOUHSC_02606	29967	29967	29967
SAOUHSC_03045	42460	42460	42460
SAOUHSC_00040	0	0	0
SAOUHSC_00826	3371	3371	3371
SAOUHSC_00070	4446	4446	4446
SAOUHSC_02453	322	322	322
SAOUHSC_T00020	9	0	9
SAOUHSC_01389	223	223	223
SAOUHSC_00251	1604	1604	1604
SAOUHSC_00972	832	832	832
SAOUHSC_02393	649	649	649
SAOUHSC_03003	20	20	20
SAOUHSC_00591	255	255	255
SAOUHSC_01956	215	215	215
SAOUHSC_00593	121	121	121
SAOUHSC_01334	614	614	614
SAOUHSC_00446	17	17	17
SAOUHSC_02470	323	323	323
SAOUHSC_00852	0	0	0
SAOUHSC_03046	682	682	682
SAOUHSC_00747	1386	1386	1386
SAOUHSC_00255	403	403	403
SAOUHSC_00260	210	209	210
SAOUHSC_00973	11494	11494	11494
SAOUHSC_02572	1107	1107	1107
SAOUHSC_01950	20	20	20
SAOUHSC_02817	12	12	12
SAOUHSC_03000	41	41	41
SAOUHSC_00075	429	429	429
SAOUHSC_02320	4468	4468	4468
SAOUHSC_00271	1345	1345	1345
SAOUHSC_00144	190321	190321	190321
SAOUHSC_02588	8	8	8
SAOUHSC_02808	26332	26332	26332
SAOUHSC_01292	54	54	54
SAOUHSC_01090	7	7	7
SAOUHSC_01055a	662	662	662
SAOUHSC_02886	54	54	54
SAOUHSC_01111	69	69	69
SAOUHSC_00841	861	861	861
SAOUHSC_02914	7	7	7
SAOUHSC_00254	79	79	79
SAOUHSC_00915	53	53	53
SAOUHSC_01923	260	260	260
SAOUHSC_00145	15966	15966	15966
SAOUHSC_02314	53324	53324	53324
SAOUHSC_02990	42958	42958	42958
SAOUHSC_00076	633	633	633
SAOUHSC_00074	6555	6555	6555
SAOUHSC_00249	1425	1425	1425
SAOUHSC_A02331	120	120	120
SAOUHSC_01897	157	157	157
SAOUHSC_01353	302	302	302
SAOUHSC_02153	342	342	342
SAOUHSC_01957	660	660	660
SAOUHSC_02618	7976	7976	7976
SAOUHSC_02858	60	60	60
SAOUHSC_00704	4600	4600	4600
SAOUHSC_00612	254	254	254
SAOUHSC_00674	494	494	494
SAOUHSC_00775	668	668	668
SAOUHSC_00257	22963	22963	22963
SAOUHSC_00203	226	226	226
SAOUHSC_02157	1297	1297	1297
SAOUHSC_00806	1602	1602	1602
SAOUHSC_01363	2079	2079	2079
SAOUHSC_02664	4590	4590	4590
SAOUHSC_01030	981	981	981
SAOUHSC_00272	496	496	496
SAOUHSC_02798	18508	18508	18508
SAOUHSC_00808	6115	6115	6115
SAOUHSC_01120	2958	2958	2958
SAOUHSC_01394	423	423	423
SAOUHSC_00250	1561	1561	1561
SAOUHSC_00205	0	0	0
SAOUHSC_00650	3	3	3
SAOUHSC_01294	8	8	8
SAOUHSC_01300	0	0	0
SAOUHSC_01765	4	4	4
SAOUHSC_01937	3	3	3
SAOUHSC_02339	3	3	3
SAOUHSC_02451	137	137	137
SAOUHSC_02616	3	3	3
SAOUHSC_02889	0	0	0
SAOUHSC_02940	1	1	1
SAOUHSC_A00526	0	0	0
SAOUHSC_02454	182	182	182
SAOUHSC_01603	585	574	585
SAOUHSC_02813	8275	8275	8275
SAOUHSC_01409	160	159	160
SAOUHSC_00360	1328	1328	1328
SAOUHSC_00084	482	482	482
SAOUHSC_02521	614	614	614
SAOUHSC_00749	18438	18438	18438
SAOUHSC_02819	50	50	50
SAOUHSC_02315	15797	15797	15797
SAOUHSC_02759	5862	5862	5862
SAOUHSC_00289	93	93	93
SAOUHSC_02245	308	308	308
SAOUHSC_03005	213	213	213
SAOUHSC_00986	459	459	459
SAOUHSC_00261	1536	1536	1536
SAOUHSC_00112	48	33	48
secY_2	276	276	276
SAOUHSC_00409	224	224	224
SAOUHSC_01422	344	344	344
SAOUHSC_00991	694	694	694
SAOUHSC_02619	9117	9117	9117
SAOUHSC_02991	8771	8771	8771
SAOUHSC_01324	6483	6483	6483
SAOUHSC_01905	22	21	22
SAOUHSC_00746	2908	2908	2908
SAOUHSC_02702	207	207	207
SAOUHSC_02928	115	115	115
SAOUHSC_00266	618	618	618
SAOUHSC_00926	3332	3332	3332
SAOUHSC_00300	64455	64455	64455
SAOUHSC_00993	77	77	77
SAOUHSC_02271	278	278	278
SAOUHSC_00135	619	619	619
SAOUHSC_00077	1068	1068	1068
SAOUHSC_01388	7	7	7
SAOUHSC_00588	421	421	421
SAOUHSC_00701	1023	1023	1023
SAOUHSC_02156	13	13	13
SAOUHSC_00923	1719	1719	1719
SAOUHSC_01647	862	862	862
SAOUHSC_00913	46	46	46
SAOUHSC_00042	774	774	774
SAOUHSC_02378	2841	2841	2841
SAOUHSC_00927	7167	7167	7167
SAOUHSC_02008	2342	2342	2342
SAOUHSC_01984	671	671	671
SAOUHSC_00725	296	296	296
SAOUHSC_00544	9000	8923	9000
SAOUHSC_00259	816	816	816
SAOUHSC_01503	1938	1938	1938
SAOUHSC_00202	265	265	265
SAOUHSC_00357	2839	2839	2839
SAOUHSC_02795	561	561	561
SAOUHSC_01084	736	736	736
SAOUHSC_00753	628	628	628
