Feature ID	Wild-type - WT1_S7 (GE) - Expression values	Wild-type - WT1_S7 (GE) - Unique gene reads	Wild-type - WT1_S7 (GE) - Total gene reads
SAOUHSC_02437	148	111	148
SAOUHSC_00044	684	684	684
SAOUHSC_01013	9321	9321	9321
SAOUHSC_00193	140	140	140
SAOUHSC_02104	58	58	58
SAOUHSC_01097	2942	2942	2942
SAOUHSC_00166	1513	1513	1513
SAOUHSC_03001	6289	6289	6289
SAOUHSC_01627	4318	4318	4318
SAOUHSC_00585	47	47	47
SAOUHSC_00837	20	20	20
SAOUHSC_00992	634	634	634
SAOUHSC_01789	9399	9399	9399
SAOUHSC_00844	959	959	959
SAOUHSC_00925	3419	3419	3419
SAOUHSC_01311	44	44	44
SAOUHSC_01484	17	17	17
SAOUHSC_02883	2843	2843	2843
SAOUHSC_02309	1348	1348	1348
SAOUHSC_01072	2722	2722	2722
SAOUHSC_00618	737	737	737
SAOUHSC_02800	7	7	7
SAOUHSC_00537	1492	1491	1492
SAOUHSC_00025	7717	7717	7717
SAOUHSC_02144	1059	1059	1059
SAOUHSC_00936	89	89	89
SAOUHSC_00072	1835	1835	1835
SAOUHSC_01088	251	251	251
SAOUHSC_02256	3240	3240	3240
SAOUHSC_00163	3858	3858	3858
SAOUHSC_00046	275	275	275
SAOUHSC_00931	440	440	440
SAOUHSC_02944	217	217	217
SAOUHSC_00030	4910	4910	4910
SAOUHSC_00924	2116	2116	2116
SAOUHSC_00258	5866	5866	5866
SAOUHSC_02246	308	308	308
SAOUHSC_02678	1369	1369	1369
SAOUHSC_01010	1226	1226	1226
SAOUHSC_02458	23	23	23
SAOUHSC_00275	672	487	672
SAOUHSC_00368	45	45	45
SAOUHSC_01310	37454	37454	37454
SAOUHSC_00164	3117	3117	3117
SAOUHSC_02275	56	56	56
SAOUHSC_01012	2612	2612	2612
SAOUHSC_03047	310	310	310
SAOUHSC_00842	1177	1177	1177
SAOUHSC_01918	89978	89978	89978
SAOUHSC_00706	7456	7456	7456
SAOUHSC_02688	11	11	11
SAOUHSC_00636	93940	93940	93940
SAOUHSC_02622	11625	11625	11625
SAOUHSC_02722	387	387	387
SAOUHSC_02865	118	118	118
SAOUHSC_02589	8847	8847	8847
SAOUHSC_00682	1670	1670	1670
SAOUHSC_00299	1616	1616	1616
SAOUHSC_00279	2917	2917	2917
SAOUHSC_01896	2196	2196	2196
SAOUHSC_01898	361	361	361
SAOUHSC_02528	1439	1439	1439
SAOUHSC_02973	2076	2076	2076
SAOUHSC_02570	339	339	339
SAOUHSC_02868	79	79	79
SAOUHSC_02258	1659	1659	1659
SAOUHSC_01799	29636	29636	29636
SAOUHSC_00540	535	535	535
SAOUHSC_01635	1315	1315	1315
SAOUHSC_00669	8998	8998	8998
SAOUHSC_02806	25146	25146	25146
SAOUHSC_01919	126231	126231	126231
SAOUHSC_00274	1042	1019	1042
SAOUHSC_00744	50	50	50
SAOUHSC_01945	686	686	686
SAOUHSC_00965	3237	3237	3237
SAOUHSC_02609	124	124	124
SAOUHSC_00313	162686	162686	162686
SAOUHSC_01011	1192	1192	1192
SAOUHSC_02666	4139	4139	4139
SAOUHSC_00800	2392	2392	2392
SAOUHSC_01304	983	983	983
SAOUHSC_00843	468	468	468
SAOUHSC_02465	5579	5579	5579
SAOUHSC_01014	7528	7528	7528
recX	4759	4759	4759
SAOUHSC_00089	158	158	158
SAOUHSC_01931	1096	1096	1096
SAOUHSC_01085	695	695	695
SAOUHSC_01356	3596	3596	3596
SAOUHSC_00421	1102	1102	1102
SAOUHSC_01954	129	129	129
SAOUHSC_01879	33521	33521	33521
SAOUHSC_00862	3373	3373	3373
SAOUHSC_01112	403	403	403
SAOUHSC_02651	3844	3844	3844
SAOUHSC_01604	11828	11697	11828
SAOUHSC_00134	855	855	855
SAOUHSC_01729	7891	7891	7891
SAOUHSC_00130	1396	1396	1396
SAOUHSC_02462	13	13	13
SAOUHSC_03018	300	300	300
SAOUHSC_00269	15775	12938	15775
SAOUHSC_02145	772	772	772
SAOUHSC_02794	1593	1593	1593
SAOUHSC_02811	15925	15925	15925
SAOUHSC_1342a	7790	7790	7790
SAOUHSC_00262	7622	7622	7622
SAOUHSC_00977	744	744	744
SAOUHSC_03004	152	152	152
SAOUHSC_02988	1366	1366	1366
SAOUHSC_00347	1020	1020	1020
SAOUHSC_00838	15861	15861	15861
SAOUHSC_02335	8625	8625	8625
SAOUHSC_02608	3141	3141	3141
SAOUHSC_02475	658	658	658
SAOUHSC_01395	965	965	965
SAOUHSC_02624	5828	5828	5828
SAOUHSC_00389	91	91	91
SAOUHSC_00395	544	544	544
SAOUHSC_01137	7810	7810	7810
SAOUHSC_01922	3623	3623	3623
SAOUHSC_00199	23874	23874	23874
SAOUHSC_00700	1963	1962	1963
SAOUHSC_01124	91	91	91
SAOUHSC_02272	645	645	645
SAOUHSC_02631	4915	4915	4915
SAOUHSC_01155	2983	2983	2983
SAOUHSC_01015	5399	5399	5399
SAOUHSC_01173	1501	1501	1501
SAOUHSC_00634	178910	178910	178910
SAOUHSC_00748	2208	2208	2208
SAOUHSC_01016	3055	3055	3055
SAOUHSC_02971	1371	1371	1371
SAOUHSC_00637	168473	168473	168473
SAOUHSC_00078	707	707	707
SAOUHSC_01999	9875	9875	9875
SAOUHSC_00131	512	512	512
SAOUHSC_02620	2331	2331	2331
SAOUHSC_01009	5052	5052	5052
SAOUHSC_02641	246	246	246
SAOUHSC_02777	4471	4471	4471
SAOUHSC_00175	4193	4193	4193
SAOUHSC_02585	8049	8049	8049
SAOUHSC_02409	96471	96471	96471
SAOUHSC_01023	60	60	60
SAOUHSC_02549	12699	12699	12699
SAOUHSC_02519	8291	8291	8291
SAOUHSC_01073	1959	1959	1959
SAOUHSC_01800	24628	24628	24628
SAOUHSC_00312	40653	40653	40653
SAOUHSC_00922	392	392	392
SAOUHSC_00497	2801	2801	2801
SAOUHSC_01942	57	57	57
SAOUHSC_00828	1622	1622	1622
SAOUHSC_02670	6273	6273	6273
SAOUHSC_02737	12347	12347	12347
SAOUHSC_01952	580	580	580
SAOUHSC_02575	4997	4997	4997
SAOUHSC_00351	321	321	321
SAOUHSC_00774	2378	2378	2378
SAOUHSC_00697	350	350	350
SAOUHSC_00290	14786	14786	14786
SAOUHSC_00548	7637	7637	7637
SAOUHSC_01921	2363	2363	2363
SAOUHSC_02524	4149	4149	4149
SAOUHSC_00662	1400	1400	1400
SAOUHSC_00053	279	279	279
SAOUHSC_01067	7847	7847	7847
SAOUHSC_00311	30475	30475	30475
SAOUHSC_00673	2342	2342	2342
SAOUHSC_00088	113	113	113
SAOUHSC_02529	6624	6624	6624
SAOUHSC_02744	4548	4548	4548
SAOUHSC_00162	35929	35929	35929
trpC	140	140	140
SAOUHSC_00229	1626	1626	1626
SAOUHSC_02650	18427	18427	18427
SAOUHSC_02450	1106	1106	1106
SAOUHSC_00050	1361	1361	1361
SAOUHSC_02605	1587	1587	1587
SAOUHSC_00264	494	494	494
SAOUHSC_00619	22059	22059	22059
SAOUHSC_00182	169	169	169
SAOUHSC_01387	162	162	162
SAOUHSC_02756	707	707	707
SAOUHSC_01396	1017	1017	1017
SAOUHSC_01655	1300	1300	1300
SAOUHSC_01847	4498	4498	4498
SAOUHSC_00874	3192	3192	3192
SAOUHSC_00280	7015	7015	7015
SAOUHSC_00197	17173	17173	17173
SAOUHSC_00363	2039	2039	2039
SAOUHSC_02696	1523	1523	1523
SAOUHSC_00195	21632	21632	21632
SAOUHSC_01336	6006	6006	6006
SAOUHSC_00105	319	319	319
SAOUHSC_02599	1689	1689	1689
SAOUHSC_01798	1017	1017	1017
SAOUHSC_03016	1628	1628	1628
SAOUHSC_00079	1218	1215	1218
SAOUHSC_00949	2321	2321	2321
SAOUHSC_00049	6974	6974	6974
SAOUHSC_00325	140	140	140
SAOUHSC_00173	2347	2347	2347
SAOUHSC_02731	13047	13047	13047
SAOUHSC_00376	171	171	171
SAOUHSC_01403	255648	255648	255648
SAOUHSC_00104	223	223	223
SAOUHSC_02937	5218	5218	5218
SAOUHSC_02773	30018	30018	30018
SAOUHSC_00198	23242	23242	23242
SAOUHSC_02390	29304	29304	29304
SAOUHSC_00335	1974	1974	1974
SAOUHSC_02923	1654	1654	1654
SAOUHSC_01617	6119	6119	6119
SAOUHSC_02810	26099	26099	26099
SAOUHSC_01180	6581	6581	6581
gpmA	43403	43403	43403
SAOUHSC_01707	13171	13171	13171
SAOUHSC_02476	977	977	977
SAOUHSC_01301	3	3	3
SAOUHSC_01397	1121	1121	1121
SAOUHSC_01317	13683	13683	13683
ulaA	92747	92747	92747
SAOUHSC_00196	33624	33624	33624
SAOUHSC_00133	2727	2727	2727
SAOUHSC_00515	2599	2599	2599
SAOUHSC_01948	1774	1774	1774
SAOUHSC_00328	1590	1590	1590
SAOUHSC_01303	1103	1103	1103
SAOUHSC_03022	6875	6875	6875
SAOUHSC_00383	974	974	974
SAOUHSC_01082	1201	1201	1201
SAOUHSC_00324	2093	2093	2093
SAOUHSC_02882	1836	1836	1836
SAOUHSC_00394	150	150	150
SAOUHSC_00329	1052	1052	1052
SAOUHSC_00620	9611	9611	9611
SAOUHSC_00008	15198	15198	15198
SAOUHSC_01268	693	693	693
SAOUHSC_00041	1585	1585	1585
SAOUHSC_02837	368	368	368
SAOUHSC_00384	164	164	164
SAOUHSC_00080	1638	1636	1638
SAOUHSC_02001	13406	13406	13406
SAOUHSC_00961	81	81	81
SAOUHSC_01489	129	129	129
SAOUHSC_00136	71	71	71
SAOUHSC_01134	594	594	594
SAOUHSC_00220	5737	5737	5737
SAOUHSC_01650	2885	2885	2885
SAOUHSC_01849	8113	8113	8113
SAOUHSC_02151	1705	1705	1705
SAOUHSC_03048	129	129	129
SAOUHSC_02430	23767	23767	23767
SAOUHSC_00941	8214	8214	8214
SAOUHSC_01710	4184	4184	4184
SAOUHSC_00065	2173	2173	2173
SAOUHSC_02569	130	130	130
SAOUHSC_00948	22690	22690	22690
SAOUHSC_02905	482	482	482
SAOUHSC_03026	1082	1082	1082
SAOUHSC_01917	142	142	142
SAOUHSC_03028	6702	6702	6702
SAOUHSC_00178	3514	3514	3514
SAOUHSC_00256	2793	2793	2793
SAOUHSC_02912	30885	30885	30885
SAOUHSC_00132	425020	425020	425020
SAOUHSC_00422	2380	2380	2380
SAOUHSC_00962	986	986	986
SAOUHSC_02931	864	864	864
SAOUHSC_02986	739	739	739
SAOUHSC_01671	2174	2174	2174
SAOUHSC_02761	1412	1412	1412
SAOUHSC_01181	10016	10016	10016
SAOUHSC_02248	1089	1089	1089
SAOUHSC_01213	6549	6549	6549
SAOUHSC_01220	350	350	350
SAOUHSC_00221	8949	8949	8949
SAOUHSC_00740	2870	2870	2870
SAOUHSC_01464	20850	20850	20850
SAOUHSC_01899	316	316	316
SAOUHSC_01691	448	448	448
SAOUHSC_00222	11022	11022	11022
SAOUHSC_01110	2186	2186	2186
SAOUHSC_01008	1983	1983	1983
SAOUHSC_02449	1583	1583	1583
SAOUHSC_00845	161155	161155	161155
SAOUHSC_01414	4337	4337	4337
SAOUHSC_01640	70	70	70
SAOUHSC_02660	6850	6850	6850
SAOUHSC_01846	63937	63937	63937
SAOUHSC_00479	15364	15364	15364
SAOUHSC_02435	1244	1244	1244
SAOUHSC_00322	5684	5684	5684
SAOUHSC_02743	2170	2170	2170
SAOUHSC_00988	3043	3043	3043
SAOUHSC_02733	15852	15852	15852
SAOUHSC_01768	9613	9613	9613
SAOUHSC_02555	4937	4937	4937
SAOUHSC_00825	9838	9838	9838
SAOUHSC_02767	4272	4272	4272
SAOUHSC_01385	373	373	373
SAOUHSC_02960	5435	5435	5435
SAOUHSC_00276	895	683	895
SAOUHSC_02464	7315	7315	7315
SAOUHSC_00393	116	116	116
SAOUHSC_02471	1166	1166	1166
SAOUHSC_00007	3239	3239	3239
SAOUHSC_02593	2779	2779	2779
SAOUHSC_00176	4908	4908	4908
SAOUHSC_00885	8311	8311	8311
SAOUHSC_00177	5677	5677	5677
SAOUHSC_02719	569	569	569
SAOUHSC_02645	718	718	718
SAOUHSC_02842	304	304	304
nrdI	12985	12320	12985
SAOUHSC_00151	9524	9524	9524
SAOUHSC_02568	4329	4329	4329
SAOUHSC_01399	2241	2241	2241
SAOUHSC_00362	10770	10770	10770
SAOUHSC_00556	34865	34865	34865
SAOUHSC_00277	1309	1246	1309
SAOUHSC_02127	964	964	964
SAOUHSC_02911	2827	2827	2827
SAOUHSC_02014	4207	4207	4207
SAOUHSC_02790	6841	6841	6841
SAOUHSC_00678	9709	9709	9709
SAOUHSC_01296	839	839	839
SAOUHSC_02614	4017	4017	4017
SAOUHSC_01830	4086	4086	4086
SAOUHSC_01133	2334	2334	2334
SAOUHSC_01366	934	934	934
SAOUHSC_01657	2353	2353	2353
SAOUHSC_01440	640	640	640
SAOUHSC_01884	153744	153744	153744
SAOUHSC_02472	2508	2508	2508
SAOUHSC_00938	16653	16653	16653
SAOUHSC_00738	128360	128360	128360
SAOUHSC_02658	831	831	831
SAOUHSC_02910	7827	7827	7827
SAOUHSC_01835	3083	3079	3083
SAOUHSC_00314	2823	2823	2823
SAOUHSC_00707	9264	9264	9264
SAOUHSC_00052	242	226	242
SAOUHSC_01997	23180	23180	23180
SAOUHSC_02851	89	89	89
SAOUHSC_02801	16580	16580	16580
SAOUHSC_01986	10911	10911	10911
SAOUHSC_00143	2982	2982	2982
SAOUHSC_00081	879	877	879
SAOUHSC_02119	26947	26947	26947
SAOUHSC_01507	76	76	76
SAOUHSC_00204	13246	13246	13246
SAOUHSC_00810	444	444	444
SAOUHSC_00940	8322	8322	8322
SAOUHSC_00265	754	754	754
SAOUHSC_02739	5877	5877	5877
SAOUHSC_02259	9551	9551	9551
SAOUHSC_02523	2419	2419	2419
SAOUHSC_00586	588	588	588
SAOUHSC_02694	3672	3672	3672
SAOUHSC_01968	9842	9842	9842
SAOUHSC_02276	3321	3321	3321
SAOUHSC_03049	15628	15628	15628
SAOUHSC_02778	17264	17264	17264
SAOUHSC_01036	11599	11599	11599
SAOUHSC_02533	231	231	231
SAOUHSC_00297	7208	7208	7208
SAOUHSC_01062	11254	11254	11254
SAOUHSC_00218	49	49	49
SAOUHSC_00899	887	887	887
SAOUHSC_00082	1367	1367	1367
SAOUHSC_02863	156	156	156
SAOUHSC_00326	323	323	323
SAOUHSC_02587	9305	9305	9305
SAOUHSC_00381	593	593	593
SAOUHSC_01805	651	469	651
SAOUHSC_00359	2469	2469	2469
SAOUHSC_00880	4452	4452	4452
SAOUHSC_02949	1298	1298	1298
SAOUHSC_02695	1903	1903	1903
SAOUHSC_01279	4134	4134	4134
SAOUHSC_00410	1697	1697	1697
SAOUHSC_00555	2698	2698	2698
SAOUHSC_02553	2781	2781	2781
SAOUHSC_01343	6286	6286	6286
SAOUHSC_02247	1093	1093	1093
SAOUHSC_02926	78122	78122	78122
purH	8113	8113	8113
SAOUHSC_02861	6054	6054	6054
SAOUHSC_00043	91	91	91
SAOUHSC_00392	508	508	508
SAOUHSC_02461	1198	1198	1198
SAOUHSC_01398	1386	1386	1386
SAOUHSC_01908	32316	32316	32316
SAOUHSC_02699	18518	18509	18518
SAOUHSC_01880	115	89	115
SAOUHSC_01781	21005	21005	21005
SAOUHSC_02546	7515	7515	7515
SAOUHSC_00742	68330	67636	68330
SAOUHSC_02729	228833	228833	228833
SAOUHSC_01706	997	997	997
SAOUHSC_02700	6543	6543	6543
SAOUHSC_00181	8050	8050	8050
SAOUHSC_02093	4514	4514	4514
SAOUHSC_02304	11105	11105	11105
SAOUHSC_00621	1235	1235	1235
SAOUHSC_02532	549	549	549
SAOUHSC_01607	32	32	32
SAOUHSC_02775	1359	1359	1359
SAOUHSC_00062	107	107	107
SAOUHSC_02367	4379	4379	4379
SAOUHSC_02147	12211	12211	12211
SAOUHSC_01051	6598	6598	6598
SAOUHSC_00807	3528	3528	3528
SAOUHSC_00651	6866	6866	6866
SAOUHSC_02654	8039	8039	8039
SAOUHSC_00705	1382	1382	1382
SAOUHSC_02436	10593	10593	10593
SAOUHSC_02648	3198	3198	3198
SAOUHSC_01920	6432	6432	6432
SAOUHSC_02826	1678	1678	1678
SAOUHSC_00268	18789	18789	18789
SAOUHSC_00377	240	240	240
SAOUHSC_A02794	810	810	810
SAOUHSC_00106	408	408	408
SAOUHSC_02612	9584	9584	9584
SAOUHSC_01900	292	292	292
SAOUHSC_02691	1892	1892	1892
SAOUHSC_02552	1177	1177	1177
SAOUHSC_01639	41	41	41
holA	1106	1106	1106
SAOUHSC_00830	2772	2772	2772
SAOUHSC_00454	8308	8308	8308
SAOUHSC_00267	415	415	415
SAOUHSC_00835	24234	24234	24234
SAOUHSC_00508	11987	11987	11987
SAOUHSC_00607	9076	9076	9076
SAOUHSC_01319	389	389	389
SAOUHSC_01478	1245	1245	1245
SAOUHSC_00605	5475	5475	5475
SAOUHSC_00987	2559	2559	2559
SAOUHSC_01709	19606	19606	19606
SAOUHSC_01728	7410	7410	7410
SAOUHSC_00989	5298	5298	5298
SAOUHSC_00086	4048	4048	4048
SAOUHSC_02460	17199	17199	17199
SAOUHSC_00440	0	0	0
SAOUHSC_01992	11511	11511	11511
SAOUHSC_02888	538	538	538
SAOUHSC_02741	2302	2302	2302
SAOUHSC_02843	4982	4982	4982
SAOUHSC_02783	806	806	806
SAOUHSC_00083	1348	1348	1348
SAOUHSC_00840	5164	5164	5164
SAOUHSC_01313	1074	1074	1074
SAOUHSC_02003	5770	5770	5770
SAOUHSC_02831	1637	1637	1637
SAOUHSC_00864	10377	10377	10377
SAOUHSC_00428	6080	6080	6080
SAOUHSC_02992	515	515	515
SAOUHSC_02403	86646	86646	86646
SAOUHSC_00888	9133	9133	9133
SAOUHSC_01708	11373	11373	11373
SAOUHSC_02686	3722	3722	3722
SAOUHSC_01340	4804	4804	4804
SAOUHSC_00698	9231	9231	9231
SAOUHSC_01975	25775	25775	25775
SAOUHSC_02924	407	407	407
SAOUHSC_00370	6759	6759	6759
SAOUHSC_01462	40910	40910	40910
SAOUHSC_00535	103667	103667	103667
SAOUHSC_02757	2406	2406	2406
SAOUHSC_02780	1798	1798	1798
SAOUHSC_01367	431	431	431
SAOUHSC_01941	72	72	72
SAOUHSC_00026	666	268	666
SAOUHSC_00683	1573	1573	1573
SAOUHSC_00687	5691	5691	5691
SAOUHSC_A01081	37	37	37
SAOUHSC_02520	12674	12674	12674
SAOUHSC_01400	2211	2211	2211
SAOUHSC_02374	3904	3904	3904
SAOUHSC_02625	9367	9367	9367
SAOUHSC_02547	9005	9005	9005
SAOUHSC_00304	5358	5358	5358
SAOUHSC_00378	463	463	463
SAOUHSC_00366	34786	34786	34786
SAOUHSC_02846	9570	9570	9570
SAOUHSC_00180	7159	7159	7159
SAOUHSC_02584	5469	5469	5469
SAOUHSC_00367	5717	5717	5717
SAOUHSC_02308	13859	13859	13859
SAOUHSC_02766	1247	1247	1247
SAOUHSC_02828	2893	2893	2893
SAOUHSC_02829	21884	21884	21884
SAOUHSC_02803	3248	3219	3248
SAOUHSC_02626	10673	10673	10673
SAOUHSC_00702	5593	5593	5593
SAOUHSC_01452	112	112	112
SAOUHSC_02640	383	383	383
SAOUHSC_02862	44131	44131	44131
SAOUHSC_00371	45447	45447	45447
SAOUHSC_01018	8920	8920	8920
SAOUHSC_01762	6189	6189	6189
SAOUHSC_02417	73783	73783	73783
SAOUHSC_01407	11686	11686	11686
SAOUHSC_02600	11140	11140	11140
SAOUHSC_01152	5759	5759	5759
SAOUHSC_02621	1238	1238	1238
SAOUHSC_00592	574	574	574
SAOUHSC_00010	516	516	516
